title,price,category,shop,weight,height,width,depth
МД трейзер 1670,"
						5 705						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
МД трейзер 1650,"
						4 517						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штанга для подвески ручных опор МД 1,"
						4 333						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Рама Балканского КМ,"
						8 256						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Кровать адаптационная механическая с туалетным устройством MBН,По запросу,Медицинская мебель,2,[],,,
Тумба медицинская МД ТП-8,По запросу,Медицинская мебель,2,[],,,
Тумба медицинская МД ТП-7,По запросу,Медицинская мебель,2,[],,,
Тумба медицинская МД ТП-6,По запросу,Медицинская мебель,2,[],,,
Медицинская кровать функциональная электрическая MB-93.1,По запросу,Медицинская мебель,2,[],,,
Медицинская кровать МВ223.1.1.5 (KM-05),По запросу,Медицинская мебель,2,[],,,
Матрац медицинский НПВ 8245,"
						16 441						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Матрац медицинский НПВ 8242,"
						6 571						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Столик надкроватный МВ,"
						2 080						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Подставка для судна MBV-01 (КМ),"
						2 318						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штанга для подвески ручных опор MBR-01 (МД 2),"
						4 077						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Рама Балканского MBF-01 (КМ Н),"
						8 528						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Ограждения боковые MBМ-06 (КМ 3),"
						5 555						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Ограждения боковые MBS-02 (КМ 2),"
						10 349						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Ограждения боковые MBA-03 (КМ 1),"
						8 704						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штатив медицинский MBS-01 (КМ МШ-2),"
						2 167						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штатив медицинский MBP-03 (КМ МШ-1),"
						1 560						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штатив медицинский MDS-01 (КМ ШДВ-1),"
						3 772						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штатив медицинский MDР-01 (КМ ШДВ),"
						3 189						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать MB234.1.1.5 (KM-11),По запросу,Медицинская мебель,2,[],,,
Медицинская кровать MB100.4.0.3 (KM-10),"
						20 210						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать MB100.1.0.1 (KM-09),"
						17 395						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать функциональная электрическая МВ-95,По запросу,Медицинская мебель,2,[],,,
Медицинская кровать функциональная электрическая МВ-93,По запросу,Медицинская мебель,2,[],,,
Медицинская кровать MB200.1.0.5 (KM-06),"
						29 974						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать MB223.2.1.2 (KM-04),По запросу,Медицинская мебель,2,[],,,
Медицинская кровать MB113.1.1.2 (KM-03),"
						35 956						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать MB221.1.1.5 (KM-02),"
						55 924						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская кровать MB111.1.0.1 (KM-01),"
						20 122						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба медицинская МД ТП-9,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 ШМ-SSR,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 ШМ-SSK,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 1 ШМ-SSD,По запросу,Медицинская мебель,2,[],,,
Шкаф для палат MF LH-2 1880 белый,"
						11 917						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Шкаф для палат МF LH-1 1940,"
						9 079						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба МF NH-3,"
						7 326						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба MF NH-2 белое дерево,"
						4 237						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба MF NH-2 голубая,"
						4 237						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба MF NH-2 белая,"
						4 237						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Тумба МF NH-1,"
						4 654						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Массажный стол МТ,"
						82 401						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/25 код «Fort M 1385.3»,"
						635 625						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский шкаф для уборочного инвентаря МД 1 ШМ-SS,"
						12 420						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Банкетка со спинкой МД БС,"
						12 346						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Банкетка МД Б,"
						8 150						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/100,"
						644 342						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Устройство приемное АТП 100,По запросу,Медицинская мебель,2,[],,,
Тележка-каталка АТК 100,По запросу,Медицинская мебель,2,[],,,
Комплект средств размещения-перемещения пациентов для применения в службе скорой медицинской помощи и госпитальной транспортировки,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1780 R-5,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1780 R-1,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1780 R,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 1 1760 R,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 1 1760 R-1,По запросу,Медицинская мебель,2,[],,,
Медицинский шкаф для одежды МД 2 ШМ-SS,"
						12 175						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский шкаф для одежды МД 2 ШМ,"
						21 838						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Ширма медицинская MB S,"
						3 734						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Штатив медицинский КМ ШДВ-2,"
						2 222						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Держатель для одноразовых рулонных простыней и полотенец КММ,"
						1 764						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Шкаф для палат MF LH-2 1980 белый,"
						17 259						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Шкаф для палат MF LH-2 1980 белое дерево,"
						17 844						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Шкаф для палат MF LH-2 1980 голубой,"
						17 844						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Шкаф для палат МF LH-1 1940.1,"
						9 997						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол процедурный МД SP 3N,"
						12 977						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол процедурный МД SP 2N,"
						9 612						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол манипуляционный МД SM 6,"
						30 223						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол манипуляционный МД SM 2,"
						21 458						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол манипуляционный МД SM 1,"
						14 162						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол хирургический МД СХ,"
						8 068						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол процедурный МД SP N (прикроватный),"
						8 294						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол процедурный МД SP 3G,"
						8 552						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Стол процедурный МД SP 2G,"
						7 008						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 220/100х60/6,"
						9 953						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 220/100х40/6,"
						7 745						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 220/100х30/6,"
						6 690						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200KD/100х60/4,"
						7 565						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200KD/100х50/4,"
						6 439						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200KD/100х40/4,"
						5 735						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200/100х60/6,"
						9 584						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200/100х40/6,"
						7 376						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200/100х30/6,"
						6 321						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 200KD/100х30/4,"
						5 067						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 185/100х60/4,"
						6 840						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 185/100х40/4,"
						5 362						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 185/100х30/4,"
						4 658						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 185KD/70х30/4,"
						4 372						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский стеллаж СТМ MS 160KD/70х30/4,"
						4 187						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/50,"
						370 499						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/25,"
						348 253						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/12,"
						283 862						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Сейф-термостат VALBERG TS - 3/12 мод. ASK-30,"
						223 334						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Аптечка AMD-39,"
						2 727						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Аптечка AMD-39G,"
						3 475						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская тумба МД ТП-3,"
						6 817						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская тумба  МД ТП-2,"
						8 765						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинская тумба МД ТП-1,"
						8 677						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1780/SG,"
						19 392						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1780/SS,"
						19 392						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
Медицинский шкаф HILFE МД 2 1670/SG,"
						15 460						
							 руб.							за 1 шт

",Медицинская мебель,2,[],,,
