title,availability,price,category,shop,manufacturer,width,height
Медицинский стеллаж СТМ MS 160KD/70х30/4,Есть в наличии,3 710 руб.,Медицинская мебель,5,,,
Аптечка «Железная мебель»,Есть в наличии,По запросу,Медицинская мебель,5,,,
Рециркулятор бактерицидный настольный МСК-3918,Есть в наличии,2 350 руб.,Медицинская мебель,5,,,
Аптечка AMD-39,Есть в наличии,2 410 руб.,Медицинская мебель,5,,,
Рециркулятор RUV-1004 START,Есть в наличии,4 190 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1670/SS,Есть в наличии,13 700 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1780 R-1,Есть в наличии,24 950 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200KD/100х50/4,Есть в наличии,5 700 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200/100х40/6,Есть в наличии,6 540 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1657/SG,Есть в наличии,12 960 руб.,Медицинская мебель,5,,,
Аптечка АМ - 1,Есть в наличии,1 690 руб.,Медицинская мебель,5,,,
Аптечка АУ-1,Есть в наличии,1 730 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 165.50.32 М,Есть в наличии,11 980 руб.,Медицинская мебель,5,,,
Аптечка AMD-39G,Есть в наличии,3 080 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1670/SG,Есть в наличии,13 700 руб.,Медицинская мебель,5,,,
Аптечка ЕА,Есть в наличии,2 280 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-910,Есть в наличии,3 830 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1780/SS,Есть в наличии,17 190 руб.,Медицинская мебель,5,,,
Шкаф медицинский МД 2 ШМ-SS,Есть в наличии,10 790 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1650/SS,Есть в наличии,12 620 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1650/SG,Есть в наличии,12 620 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-2922.800 (ШМм-МСК),Есть в наличии,19 360 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200KD/100х30/4,Есть в наличии,4 490 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-925.2,Есть в наличии,3 300 руб.,Медицинская мебель,5,,,
Шкаф медицинский МД 1 ШМ-SS,Есть в наличии,11 010 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200/100х30/6,Есть в наличии,5 600 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 220/100х40/6,Есть в наличии,6 860 руб.,Медицинская мебель,5,,,
Шкаф для одежды MF LH-2 1980 (Белое дерево),Есть в наличии,16 670 руб.,Медицинская мебель,5,,,
Рециркулятор ОВУ-01П Солярис,Есть в наличии,5 050 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185/100х40/4,Есть в наличии,4 750 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1760 R,Есть в наличии,16 400 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-909,Есть в наличии,4 790 руб.,Медицинская мебель,5,,,
Картотечный шкаф МСК-831.03 (3 ящика),Есть в наличии,31 470 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185KD/70х30/4,Есть в наличии,3 870 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 165.57.32 М ,Есть в наличии,12 160 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200/100х60/6,Есть в наличии,8 490 руб.,Медицинская мебель,5,,,
Шкаф медицинский М2 175.80.40 М,Есть в наличии,16 220 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-505.02 (ШМБО-МСК),Есть в наличии,17 470 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200KD/100х40/4,Есть в наличии,5 080 руб.,Медицинская мебель,5,,,
Шкаф медицинский М2 175.80.40 C,Есть в наличии,16 220 руб.,Медицинская мебель,5,,,
Шкаф для одежды МД-511 (ШМО-МСК),Есть в наличии,10 120 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 220/100х30/6,Есть в наличии,5 930 руб.,Медицинская мебель,5,,,
Шкаф медицинский ШММ-2 с трейзером,Есть в наличии,24 500 руб.,Медицинская мебель,5,,,
Шкаф для белья и одежды МД-506 (ШМБО-МСК),Есть в наличии,12 720 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 220/100х60/6,Есть в наличии,8 820 руб.,Медицинская мебель,5,,,
Рециркулятор RUV-3001,Есть в наличии,7 200 руб.,Медицинская мебель,5,,,
Шкаф для хранения документации МД-504,Есть в наличии,17 850 руб.,Медицинская мебель,5,,,
Картотечный шкаф МСК-831.02 (2 ящика),Есть в наличии,21 650 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1760 R-1,Есть в наличии,19 170 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-913,Есть в наличии,5 760 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 200KD/100х60/4,Есть в наличии,6 700 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1657/SS,Есть в наличии,12 960 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1780/SG,Есть в наличии,17 190 руб.,Медицинская мебель,5,,,
Рециркулятор бактерицидный МСК-925,Есть в наличии,2 840 руб.,Медицинская мебель,5,,,
Рециркулятор RUV-3003,Есть в наличии,9 330 руб.,Медицинская мебель,5,,,
Шкаф медицинский М2 165.70.32 C,Есть в наличии,12 380 руб.,Медицинская мебель,5,,,
Шкаф медицинский М2 165.70.32 М ,Есть в наличии,12 380 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1780 R-5,Есть в наличии,31 300 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 2 1780 R,Есть в наличии,21 640 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 165.50.32 C,Есть в наличии,11 980 руб.,Медицинская мебель,5,,,
Шкаф для одежды МД-501.01 (ШМО-МСК),Есть в наличии,14 470 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1760/SS,Есть в наличии,15 740 руб.,Медицинская мебель,5,,,
Шкаф для уборочного инвентаря МСК-649.02 (ШМм-МСК-649.02),Есть в наличии,26 600 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185/100х30/4,Есть в наличии,4 130 руб.,Медицинская мебель,5,,,
Медицинский стеллаж СТМ MS 185/100х60/4,Есть в наличии,6 060 руб.,Медицинская мебель,5,,,
Шкаф для палат MF LH-2 1880 белый,Есть в наличии,11 130 руб.,Медицинская мебель,5,,,
Картотечный шкаф МСК-831.04 (4 ящика),Есть в наличии,37 390 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-5647.12 (ШМ-02) нерж.сталь,Есть в наличии,111 610 руб.,Медицинская мебель,5,,,
Шкаф медицинский М1 175.60.40 М,Есть в наличии,15 540 руб.,Медицинская мебель,5,,,
Шкаф для белья,Есть в наличии,25 570 руб.,Медицинская мебель,5,,,
Шкаф медицинский МСК-645.01 (ШМ-03) металл,Есть в наличии,28 310 руб.,Медицинская мебель,5,,,
Шкаф медицинский HILFE МД 1 1760/SG,Есть в наличии,15 740 руб.,Медицинская мебель,5,,,
Шкаф медицинский 4Hospitals МСК-645.01-11 (ШМ-03),Есть в наличии,43 600 руб.,Медицинская мебель,5,,,
Шкаф для кабинета врача ШКВ-05,Есть в наличии,36 410 руб.,Медицинская мебель,5,,,
Шкаф для одежды МД-501.02 (ШМО-МСК),Есть в наличии,14 330 руб.,Медицинская мебель,5,,,
