title,description,size,price
Шкаф для раздевалок усиленный ML-11-50U (LS-11-50),"

Вес, кг

						26					



Габариты, мм

						1830x500x500					


",['1830x500x500'],По запросу
Шкаф для раздевалок усиленный ML/LS-11-40D,"

Вес, кг

						23					



Габариты, мм

						1830x400x500					


",['1830x400x500'],"
						10 468						
							 руб.							за 1 шт

"
Шкаф для раздевалок ПРАКТИК усиленный ML 11-50D,"

Вес, кг

						22					



Габариты, мм

						1830x500x500					


",['1830x500x500'],"
						13 195						
							 руб.							за 1 шт

"
Шкаф для сумок ПРАКТИК Стандарт LS-34,"

Вес, кг

						44					



Габариты, мм

						1830x885x500					


",['1830x885x500'],"
						27 489						
							 руб.							за 1 шт

"
Шкаф для раздевалок ПРАКТИК Стандарт LS-31,"

Вес, кг

						40					



Габариты, мм

						1830x885x500					


",['1830x885x500'],"
						15 011						
							 руб.							за 1 шт

"
Картотека ПРАКТИК AFC-07C,"

Вес, кг

						71					



Габариты, мм

						1327x515x631					


",['1327x515x631'],"
						40 112						
							 руб.							за 1 шт

"
Картотека ПРАКТИК AFC-07,"

Вес, кг

						71					



Габариты, мм

						1327x515x631					


",['1327x515x631'],"
						39 848						
							 руб.							за 1 шт

"
Шкаф для раздевалок ПРАКТИК Стандарт LS-21-80U,"

Вес, кг

						38					



Габариты, мм

						1830x800x500					


",['1830x800x500'],"
						12 534						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК AMT 0812,"

Вес, кг

						34					



Габариты, мм

						832x1215x458					


",['832x1215x458'],"
						25 299						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-21,"

Вес, кг

						28					



Габариты, мм

						1000x1000x500					


",['1000x1000x500'],"
						13 819						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-22,"

Вес, кг

						52					



Габариты, мм

						1900x1000x500					


",['1900x1000x500'],"
						26 011						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-15,"

Вес, кг

						51					



Габариты, мм

						2000x850x500					


",['2000x850x500'],"
						23 751						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-14,"

Вес, кг

						46					



Габариты, мм

						1860x850x500					


",['1860x850x500'],"
						18 525						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-13,"

Вес, кг

						24					



Габариты, мм

						930x850x500					


",['930x850x500'],"
						12 438						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-12,"

Вес, кг

						41					



Габариты, мм

						1860x850x400					


",['1860x850x400'],"
						16 634						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК CB-11,"

Вес, кг

						22					



Габариты, мм

						930x850x400					


",['930x850x400'],"
						10 899						
							 руб.							за 1 шт

"
Картотека ПРАКТИК A0-05/3 (низ),"

Вес, кг

						110					



Габариты, мм

						465x1359x927					


",['465x1359x927'],"
						73 187						
							 руб.							за 1 шт

"
Картотека ПРАКТИК A0-05/2 (промежуточная секция),"

Вес, кг

						105					



Габариты, мм

						390x1359x927					


",['390x1359x927'],"
						73 187						
							 руб.							за 1 шт

"
Картотека ПРАКТИК A0-05/1 (верх),"

Вес, кг

						118					



Габариты, мм

						415x1359x927					


",['415x1359x927'],"
						73 187						
							 руб.							за 1 шт

"
Цоколь ML-500 базового модуля,"

Габариты, мм

						55-85x498x460					


",['85x498x460'],"
						1 161						
							 руб.							за 1 шт

"
Цоколь ML-400 дополнительного модуля,"

Габариты, мм

						55-85x398x460					


",['85x398x460'],"
						950						
							 руб.							за 1 шт

"
Цоколь ML-400 базового модуля,"

Габариты, мм

						55-85x398x460					


",['85x398x460'],"
						1 161						
							 руб.							за 1 шт

"
Цоколь ML-300 дополнительного модуля,"

Габариты, мм

						55-85x298x460					


",['85x298x460'],"
						818						
							 руб.							за 1 шт

"
Цоколь ML-300 базового модуля,"

Габариты, мм

						55-85x298x460					


",['85x298x460'],"
						1 161						
							 руб.							за 1 шт

"
Антресоль LS-21-80,"

Вес, кг

						12					



Габариты, мм

						500x800x500					


",['500x800x500'],"
						5 002						
							 руб.							за 1 шт

"
Антресоль LS-21-60,"

Вес, кг

						10.5					



Габариты, мм

						500x600x500					


",['500x600x500'],"
						4 592						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК AMT 1812,"

Вес, кг

						66					



Габариты, мм

						1830x1215x458					


",['1830x1215x458'],"
						37 262						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК AMT 1891,"

Вес, кг

						48					



Габариты, мм

						1830x915x458					


",['1830x915x458'],"
						28 149						
							 руб.							за 1 шт

"
Офисный шкаф ПРАКТИК AMT 0891,"

Вес, кг

						26					



Габариты, мм

						832x915x458					


",['832x915x458'],"
						19 300						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL- 185/4,"

Вес, кг

						36					



Объём, л

						47					



Габариты, мм

						1800x460x340					


",['1800x460x340'],"
						21 402						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL-185/2,"

Вес, кг

						85					



Объём, л

						480					



Габариты, мм

						1800x920x340					


",['1800x920x340'],"
						33 117						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL-185,"

Вес, кг

						45					



Объём, л

						240					



Габариты, мм

						1800x460x340					


",['1800x460x340'],"
						17 604						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL-150/3Т EL,"

Вес, кг

						36					



Объём, л

						18					



Габариты, мм

						1490x460x340					


",['1490x460x340'],"
						20 953						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL-150/3Т,"

Вес, кг

						36					



Объём, л

						42					



Габариты, мм

						1490x460x340					


",['1490x460x340'],"
						19 492						
							 руб.							за 1 шт

"
Бухгалтерский шкаф AIKO SL-150/2Т EL,"

Вес, кг

						36					



Объём, л

						62					



Габариты, мм

						1490x460x340					


",['1490x460x340'],"
						18 859						
							 руб.							за 1 шт

"
