title,description,size,price
МД трейзер 1670,"

Вес, кг

						6.5					



Габариты, мм

						240x627x252					


",['240x627x252'],"
						5 705						
							 руб.							за 1 шт

"
МД трейзер 1650,"

Вес, кг

						4.6					



Габариты, мм

						240x427x252					


",['240x427x252'],"
						4 517						
							 руб.							за 1 шт

"
Штанга для подвески ручных опор МД 1,"

Вес, кг

						5.3					



Габариты, мм

						1275x570x38					


",['1275x570x38'],"
						4 333						
							 руб.							за 1 шт

"
Рама Балканского КМ,"

Вес, кг

						12.2					



Габариты, мм

						1400x2222x100					


",['1400x2222x100'],"
						8 256						
							 руб.							за 1 шт

"
Кровать адаптационная механическая с туалетным устройством MBН,"

Вес, кг

						96					



Габариты, мм

						860x2160 x990					


",[],По запросу
Тумба медицинская МД ТП-8,"

Вес, кг

						25.9					



Габариты, мм

						718x423x515					


",['718x423x515'],По запросу
Тумба медицинская МД ТП-7,"

Вес, кг

						16.2					



Габариты, мм

						718x423x515					


",['718x423x515'],По запросу
Тумба медицинская МД ТП-6,"

Вес, кг

						21					



Габариты, мм

						718x425x496					


",['718x425x496'],По запросу
Медицинская кровать функциональная электрическая MB-93.1,"

Габариты, мм

						-x-x-					


",[],По запросу
Медицинская кровать МВ223.1.1.5 (KM-05),"

Вес, кг

						77					



Габариты, мм

						895x2235x994					


",['895x2235x994'],По запросу
Матрац медицинский НПВ 8245,"

Вес, кг

						6.6					



Габариты, мм

						140x2000x900					


",['140x2000x900'],"
						16 441						
							 руб.							за 1 шт

"
Матрац медицинский НПВ 8242,"

Вес, кг

						4					



Габариты, мм

						100x2000x900					


",['100x2000x900'],"
						6 571						
							 руб.							за 1 шт

"
Столик надкроватный МВ,"

Вес, кг

						2					



Габариты, мм

						40x1050x306					


",['40x1050x306'],"
						2 080						
							 руб.							за 1 шт

"
Подставка для судна MBV-01 (КМ),"

Вес, кг

						2.5					



Габариты, мм

						344x620x34					


",['344x620x34'],"
						2 318						
							 руб.							за 1 шт

"
Штанга для подвески ручных опор MBR-01 (МД 2),"

Вес, кг

						4.4					



Габариты, мм

						1270x570x38					


",['1270x570x38'],"
						4 077						
							 руб.							за 1 шт

"
Рама Балканского MBF-01 (КМ Н),"

Вес, кг

						11.5					



Габариты, мм

						1400x2191x100					


",['1400x2191x100'],"
						8 528						
							 руб.							за 1 шт

"
Ограждения боковые MBМ-06 (КМ 3),"

Вес, кг

						6					



Габариты, мм

						410x1242x53					


",['410x1242x53'],"
						5 555						
							 руб.							за 1 шт

"
Ограждения боковые MBS-02 (КМ 2),"

Вес, кг

						12					



Габариты, мм

						509x1645x78					


",['509x1645x78'],"
						10 349						
							 руб.							за 1 шт

"
Ограждения боковые MBA-03 (КМ 1),"

Вес, кг

						6					



Габариты, мм

						353x1253x30					


",['353x1253x30'],"
						8 704						
							 руб.							за 1 шт

"
Штатив медицинский MBS-01 (КМ МШ-2),"

Вес, кг

						1					



Габариты, мм

						1045x266x192					


",['1045x266x192'],"
						2 167						
							 руб.							за 1 шт

"
Штатив медицинский MBP-03 (КМ МШ-1),"

Вес, кг

						1					



Габариты, мм

						1075x251x92					


",['1075x251x92'],"
						1 560						
							 руб.							за 1 шт

"
Штатив медицинский MDS-01 (КМ ШДВ-1),"

Вес, кг

						2					



Габариты, мм

						1130x592x592					


",['1130x592x592'],"
						3 772						
							 руб.							за 1 шт

"
Штатив медицинский MDР-01 (КМ ШДВ),"

Вес, кг

						2					



Габариты, мм

						1190x592x592					


",['1190x592x592'],"
						3 189						
							 руб.							за 1 шт

"
Медицинская кровать MB234.1.1.5 (KM-11),"

Вес, кг

						114					



Габариты, мм

						917/1238x1035x2235					


",['1238x1035x2235'],По запросу
Медицинская кровать MB100.4.0.3 (KM-10),"

Вес, кг

						47.4					



Габариты, мм

						842x2086x906					


",['842x2086x906'],"
						20 210						
							 руб.							за 1 шт

"
Медицинская кровать MB100.1.0.1 (KM-09),"

Вес, кг

						35.3					



Габариты, мм

						842x2086x906					


",['842x2086x906'],"
						17 395						
							 руб.							за 1 шт

"
Медицинская кровать функциональная электрическая МВ-95,"

Габариты, мм

						-x-x-					


",[],По запросу
Медицинская кровать функциональная электрическая МВ-93,"

Габариты, мм

						-x-x-					


",[],По запросу
Медицинская кровать MB200.1.0.5 (KM-06),"

Вес, кг

						50					



Габариты, мм

						895x2235x960					


",['895x2235x960'],"
						29 974						
							 руб.							за 1 шт

"
Медицинская кровать MB223.2.1.2 (KM-04),"

Вес, кг

						71					



Габариты, мм

						870x2231x972					


",['870x2231x972'],По запросу
Медицинская кровать MB113.1.1.2 (KM-03),"

Вес, кг

						59					



Габариты, мм

						920x2154x972					


",['920x2154x972'],"
						35 956						
							 руб.							за 1 шт

"
Медицинская кровать MB221.1.1.5 (KM-02),"

Вес, кг

						70					



Габариты, мм

						895x2235x994					


",['895x2235x994'],"
						55 924						
							 руб.							за 1 шт

"
Медицинская кровать MB111.1.0.1 (KM-01),"

Вес, кг

						39.5					



Габариты, мм

						842x2086x906					


",['842x2086x906'],"
						20 122						
							 руб.							за 1 шт

"
Тумба медицинская МД ТП-9,"

Вес, кг

						23.1					



Габариты, мм

						860/1150x650x490					


",['1150x650x490'],По запросу
Медицинский шкаф HILFE МД 2 ШМ-SSR,"

Вес, кг

						58					



Габариты, мм

						1750x800x400					


",['1750x800x400'],По запросу
Медицинский шкаф HILFE МД 2 ШМ-SSK,"

Вес, кг

						70					



Габариты, мм

						1750x800x400					


",['1750x800x400'],По запросу
Медицинский шкаф HILFE МД 1 ШМ-SSD,"

Вес, кг

						43					



Габариты, мм

						1750x600x400					


",['1750x600x400'],По запросу
Шкаф для палат MF LH-2 1880 белый,"

Вес, кг

						67					



Габариты, мм

						1800x800x550					


",['1800x800x550'],"
						11 917						
							 руб.							за 1 шт

"
Шкаф для палат МF LH-1 1940,"

Вес, кг

						41.1					



Габариты, мм

						1926x400x550					


",['1926x400x550'],"
						9 079						
							 руб.							за 1 шт

"
Тумба МF NH-3,"

Вес, кг

						20					



Габариты, мм

						700x455x452					


",['700x455x452'],"
						7 326						
							 руб.							за 1 шт

"
Тумба MF NH-2 белое дерево,"

Вес, кг

						17					



Габариты, мм

						700x455x452					


",['700x455x452'],"
						4 237						
							 руб.							за 1 шт

"
Тумба MF NH-2 голубая,"

Вес, кг

						17					



Габариты, мм

						700x455x452					


",['700x455x452'],"
						4 237						
							 руб.							за 1 шт

"
Тумба MF NH-2 белая,"

Вес, кг

						17					



Габариты, мм

						700*/650x455x452					


",['650x455x452'],"
						4 237						
							 руб.							за 1 шт

"
Тумба МF NH-1,"

Вес, кг

						18					



Габариты, мм

						700x455x452					


",['700x455x452'],"
						4 654						
							 руб.							за 1 шт

"
Массажный стол МТ,"

Вес, кг

						75					



Габариты, мм

						625-885x1990x690					


",['885x1990x690'],"
						82 401						
							 руб.							за 1 шт

"
Сейф-термостат VALBERG TS - 3/25 код «Fort M 1385.3»,"

Вес, кг

						760					



Объём, л

						150, 25х2 - термостат, 25х4 - ящик					



Габариты, мм

						1500x850x510					


",['1500x850x510'],"
						635 625						
							 руб.							за 1 шт

"
Медицинский шкаф для уборочного инвентаря МД 1 ШМ-SS,"

Вес, кг

						24					



Габариты, мм

						1830x500x500					


",['1830x500x500'],"
						12 420						
							 руб.							за 1 шт

"
Банкетка со спинкой МД БС,"

Вес, кг

						22.1					



Габариты, мм

						840x1500x500					


",['840x1500x500'],"
						12 346						
							 руб.							за 1 шт

"
Банкетка МД Б,"

Вес, кг

						15.3					



Габариты, мм

						450x1500x450					


",['450x1500x450'],"
						8 150						
							 руб.							за 1 шт

"
Сейф-термостат VALBERG TS - 3/100,"

Вес, кг

						440					



Объём, л

						170, 54х2 - термостат, 31х2 - ящик					



Габариты, мм

						1500x850x560					


",['1500x850x560'],"
						644 342						
							 руб.							за 1 шт

"
Устройство приемное АТП 100,"

Вес, кг

						58					



Габариты, мм

						722x2165x686					


",['722x2165x686'],По запросу
Тележка-каталка АТК 100,"

Вес, кг

						53					



Габариты, мм

						1212x1970x601					


",['1212x1970x601'],По запросу
Комплект средств размещения-перемещения пациентов для применения в службе скорой медицинской помощи и госпитальной транспортировки,"

Вес, кг

						108					



Габариты, мм

						920x2165x687					


",['920x2165x687'],По запросу
Медицинский шкаф HILFE МД 2 1780 R-5,"

Вес, кг

						53					



Габариты, мм

						1750x800x400					


",['1750x800x400'],По запросу
Медицинский шкаф HILFE МД 2 1780 R-1,"

Вес, кг

						49					



Габариты, мм

						1750x800x400					


",['1750x800x400'],По запросу
Медицинский шкаф HILFE МД 2 1780 R,"

Вес, кг

						45					



Габариты, мм

						1750x800x400					


",['1750x800x400'],По запросу
Медицинский шкаф HILFE МД 1 1760 R,"

Вес, кг

						35					



Габариты, мм

						1750x600x400					


",['1750x600x400'],По запросу
Медицинский шкаф HILFE МД 1 1760 R-1,"

Вес, кг

						34					



Габариты, мм

						1750x600x400					


",['1750x600x400'],По запросу
Медицинский шкаф для одежды МД 2 ШМ-SS,"

Вес, кг

						30					



Габариты, мм

						1830x600x500					


",['1830x600x500'],"
						12 175						
							 руб.							за 1 шт

"
