title,description,size,availability,price
Медицинский стеллаж СТМ MS 160KD/70х30/4,"
ВхШхГ, мм: 1550х700х300
Вес, кг: 11.4
",['1550х700х300'],Есть в наличии,3 710 руб.
Аптечка «Железная мебель»,"
ВхШхГ, мм: 300х250х140
",['300х250х140'],Есть в наличии,По запросу
Рециркулятор бактерицидный настольный МСК-3918,"
ВхШхГ, мм: 325х150х300
Вес, кг: 5
",['325х150х300'],Есть в наличии,2 350 руб.
Аптечка AMD-39,"
ВхШхГ, мм: 390х300х160
Вес, кг: 2.5
",['390х300х160'],Есть в наличии,2 410 руб.
Рециркулятор RUV-1004 START,"
ВхШхГ, мм: 260х100х100
Вес, кг: 1.1
",['260х100х100'],Есть в наличии,4 190 руб.
Шкаф медицинский HILFE МД 2 1670/SS,"
ВхШхГ, мм: 1655х700х320
Вес, кг: 33.3
",['1655х700х320'],Есть в наличии,13 700 руб.
Шкаф медицинский HILFE МД 2 1780 R-1,"
ВхШхГ, мм: 1750х800х400
Вес, кг: 49.3
",['1750х800х400'],Есть в наличии,24 950 руб.
Медицинский стеллаж СТМ MS 200KD/100х50/4,"
ВхШхГ, мм: 1950х1000х500
Вес, кг: 19.9
",['1950х1000х500'],Есть в наличии,5 700 руб.
Медицинский стеллаж СТМ MS 200/100х40/6,"
ВхШхГ, мм: 2000х1000х400
Вес, кг: 21
",['2000х1000х400'],Есть в наличии,6 540 руб.
Шкаф медицинский HILFE МД 1 1657/SG,"
ВхШхГ, мм: 1655х570х320
Вес, кг: 29.3
",['1655х570х320'],Есть в наличии,12 960 руб.
Аптечка АМ - 1,"
ВхШхГ, мм: 380х300х160
Вес, кг: 4
",['380х300х160'],Есть в наличии,1 690 руб.
Аптечка АУ-1,"
ВхШхГ, мм: 400х300х120
Вес, кг: 4
",['400х300х120'],Есть в наличии,1 730 руб.
Шкаф медицинский М1 165.50.32 М,"
ВхШхГ, мм: 1655х500х320
Вес, кг: 24
",['1655х500х320'],Есть в наличии,11 980 руб.
Аптечка AMD-39G,"
ВхШхГ, мм: 390х300х160
Вес, кг: 3
",['390х300х160'],Есть в наличии,3 080 руб.
Шкаф медицинский HILFE МД 2 1670/SG,"
ВхШхГ, мм: 1655х700х320
Вес, кг: 35.5
",['1655х700х320'],Есть в наличии,13 700 руб.
Аптечка ЕА,"
ВхШхГ, мм: 315х255х145
",['315х255х145'],Есть в наличии,2 280 руб.
Рециркулятор бактерицидный МСК-910,"
ВхШхГ, мм: 1080х220х130
Вес, кг: 6
",['1080х220х130'],Есть в наличии,3 830 руб.
Шкаф медицинский HILFE МД 2 1780/SS,"
ВхШхГ, мм: 1750х800х400
Вес, кг: 41.5
",['1750х800х400'],Есть в наличии,17 190 руб.
Шкаф медицинский МД 2 ШМ-SS,"
ВхШхГ, мм: 1830х600х500
Вес, кг: 29.2
",['1830х600х500'],Есть в наличии,10 790 руб.
Шкаф медицинский HILFE МД 1 1650/SS,"
ВхШхГ, мм: 1655х500х320
Вес, кг: 24.9
",['1655х500х320'],Есть в наличии,12 620 руб.
Шкаф медицинский HILFE МД 1 1650/SG,"
ВхШхГ, мм: 1655х500х320
Вес, кг: 26.6
",['1655х500х320'],Есть в наличии,12 620 руб.
Шкаф медицинский МСК-2922.800 (ШМм-МСК),"
ВхШхГ, мм: 1790х800х500
Вес, кг: 42
",['1790х800х500'],Есть в наличии,19 360 руб.
Медицинский стеллаж СТМ MS 200KD/100х30/4,"
ВхШхГ, мм: 1950х1000х300
Вес, кг: 13.5
",['1950х1000х300'],Есть в наличии,4 490 руб.
Рециркулятор бактерицидный МСК-925.2,"
ВхШхГ, мм: 595х220х130
",['595х220х130'],Есть в наличии,3 300 руб.
Шкаф медицинский МД 1 ШМ-SS,"
ВхШхГ, мм: 1830х500х500
Вес, кг: 24
",['1830х500х500'],Есть в наличии,11 010 руб.
Медицинский стеллаж СТМ MS 200/100х30/6,"
ВхШхГ, мм: 2000х1000х300
Вес, кг: 18.2
",['2000х1000х300'],Есть в наличии,5 600 руб.
Медицинский стеллаж СТМ MS 220/100х40/6,"
ВхШхГ, мм: 2200х1000х400
Вес, кг: 21.5
",['2200х1000х400'],Есть в наличии,6 860 руб.
Шкаф для одежды MF LH-2 1980 (Белое дерево),"
ВхШхГ, мм: 1900х800х550
Вес, кг: 86
",['1900х800х550'],Есть в наличии,16 670 руб.
Рециркулятор ОВУ-01П Солярис,"
Вес, кг: 1.5
",[],Есть в наличии,5 050 руб.
Медицинский стеллаж СТМ MS 185/100х40/4,"
ВхШхГ, мм: 1850х1000х400
Вес, кг: 15.3
",['1850х1000х400'],Есть в наличии,4 750 руб.
Шкаф медицинский HILFE МД 1 1760 R,"
ВхШхГ, мм: 1750х600х400
Вес, кг: 35.3
",['1750х600х400'],Есть в наличии,16 400 руб.
Рециркулятор бактерицидный МСК-909,"
ВхШхГ, мм: 595х300х130
Вес, кг: 5
",['595х300х130'],Есть в наличии,4 790 руб.
Картотечный шкаф МСК-831.03 (3 ящика),"
ВхШхГ, мм: 1100х460х590
Вес, кг: 57
",['1100х460х590'],Есть в наличии,31 470 руб.
Медицинский стеллаж СТМ MS 185KD/70х30/4,"
ВхШхГ, мм: 1800х700х300
Вес, кг: 11.6
",['1800х700х300'],Есть в наличии,3 870 руб.
Шкаф медицинский М1 165.57.32 М ,"
ВхШхГ, мм: 1655х570х320
Вес, кг: 26
",['1655х570х320'],Есть в наличии,12 160 руб.
Медицинский стеллаж СТМ MS 200/100х60/6,"
ВхШхГ, мм: 2000х1000х600
Вес, кг: 29.8
",['2000х1000х600'],Есть в наличии,8 490 руб.
Шкаф медицинский М2 175.80.40 М,"
ВхШхГ, мм: 1750х800х400
Вес, кг: 40
",['1750х800х400'],Есть в наличии,16 220 руб.
Шкаф для белья и одежды МД-505.02 (ШМБО-МСК),"
ВхШхГ, мм: 1800х860х560
Вес, кг: 70
",['1800х860х560'],Есть в наличии,17 470 руб.
Медицинский стеллаж СТМ MS 200KD/100х40/4,"
ВхШхГ, мм: 1950х1000х400
Вес, кг: 15.5
",['1950х1000х400'],Есть в наличии,5 080 руб.
Шкаф медицинский М2 175.80.40 C,"
ВхШхГ, мм: 1750х800х400
Вес, кг: 47
",['1750х800х400'],Есть в наличии,16 220 руб.
Шкаф для одежды МД-511 (ШМО-МСК),"
ВхШхГ, мм: 1800х450х380
Вес, кг: 35
",['1800х450х380'],Есть в наличии,10 120 руб.
Медицинский стеллаж СТМ MS 220/100х30/6,"
ВхШхГ, мм: 2200х1000х300
Вес, кг: 19
",['2200х1000х300'],Есть в наличии,5 930 руб.
Шкаф медицинский ШММ-2 с трейзером,"
ВхШхГ, мм: 1680х800х370
",['1680х800х370'],Есть в наличии,24 500 руб.
Шкаф для белья и одежды МД-506 (ШМБО-МСК),"
ВхШхГ, мм: 1800х860х380
Вес, кг: 45
",['1800х860х380'],Есть в наличии,12 720 руб.
Медицинский стеллаж СТМ MS 220/100х60/6,"
ВхШхГ, мм: 2200х1000х600
Вес, кг: 30.3
",['2200х1000х600'],Есть в наличии,8 820 руб.
Рециркулятор RUV-3001,"
ВхШхГ, мм: 570х125х127
",['570х125х127'],Есть в наличии,7 200 руб.
Шкаф для хранения документации МД-504,"
ВхШхГ, мм: 1800х860х380
Вес, кг: 45
",['1800х860х380'],Есть в наличии,17 850 руб.
Картотечный шкаф МСК-831.02 (2 ящика),"
ВхШхГ, мм: 770х460х590
Вес, кг: 57
",['770х460х590'],Есть в наличии,21 650 руб.
Шкаф медицинский HILFE МД 1 1760 R-1,"
ВхШхГ, мм: 1750х600х400
Вес, кг: 34.3
",['1750х600х400'],Есть в наличии,19 170 руб.
