title,size,price
"
Шкаф медицинский ПРАКТИК HILFE MD 1 ШМ-SS (11-50)
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>1920x500x500</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R1
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК MED 2 1780/SG
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>1850x800x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 2 ШМ-SS (21-50)
","[<a class=""spec"">Вес(кг): <span>29</span></a>, <a class=""spec"">Габариты: <span>1900x600x500</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2М А1
","[<a class=""spec"">Вес(кг): <span>28</span></a>, <a class=""spec"">Габариты: <span>1760x500x300</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2 М
","[<a class=""spec"">Вес(кг): <span>28</span></a>, <a class=""spec"">Габариты: <span>1605x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2Т (0.8)
","[<a class=""spec"">Вес(кг): <span>32</span></a>, <a class=""spec"">Габариты: <span>1605x450x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2А2
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>1860x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2ВМ
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1785x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-1
","[<a class=""spec"">Вес(кг): <span>31</span></a>, <a class=""spec"">Габариты: <span>1605x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1605x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2 МЯ
","[<a class=""spec"">Вес(кг): <span>32</span></a>, <a class=""spec"">Габариты: <span>1605x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ШМ 1-2 Я
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1605x435x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК MED 1 1650/SG
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>1755x500x320</span></a>]","
 16 509 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1650/SS
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>1755x500x320</span></a>]","
 16 509 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1657/SS
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1755x570x320</span></a>]","
 16 958 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1657/SG
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1755x570x320</span></a>]","
 16 958 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1670/SG
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1755x700x320</span></a>]","
 17 927 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1670/SS
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1755x700x320</span></a>]","
 17 927 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1760/SS
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
 20 589 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1760/SG
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
 20 589 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1780/SS
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1850x800x400</span></a>]","
 22 486 руб.
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 ШМ-SS (11-50)
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>1920x500x500</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R1
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК MED 2 1780/SG
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>1850x800x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 2 ШМ-SS (21-50)
","[<a class=""spec"">Вес(кг): <span>29</span></a>, <a class=""spec"">Габариты: <span>1900x600x500</span></a>]","
Под заказ
"
