title,description,size,availability,price
Шкаф ПРАКТИК СВ-12,"
ВхШхГ, мм: 1860х850х400
Вес, кг: 41
",['1860х850х400'],Есть в наличии,12 660 руб.
Шкаф усиленный ПРАКТИК ML/LS-11-40D,"
ВхШхГ, мм: 1830х412х500
Вес, кг: 23.7
",['1830х412х500'],Есть в наличии,7 970 руб.
Картотечный шкаф ПРАКТИК AFC-04,"
ВхШхГ, мм: 1320x470x646
Вес, кг: 48
",['1320x470x646'],Есть в наличии,26 010 руб.
Шкаф ПРАКТИК LS-41,"
ВхШхГ, мм: 1830х1170х500
Вес, кг: 52.5
",['1830х1170х500'],Есть в наличии,18 150 руб.
Шкаф для раздевалки ШРМ-АК,"
ВхШхГ, мм: 1860х600х500
Вес, кг: 33
",['1860х600х500'],Есть в наличии,9 900 руб.
Шкаф ПРАКТИК М-18,"
ВхШхГ, мм: 1830х915х370
Вес, кг: 45
",['1830х915х370'],Есть в наличии,13 130 руб.
Шкаф ПРАКТИК LS-21-60,"
ВхШхГ, мм: 1860х600х500
Вес, кг: 29.8
",['1860х600х500'],Есть в наличии,9 550 руб.
Ключница KEY-60 (с брелками),"
ВхШхГ, мм: 400х355х59
Вес, кг: 3.8
",['400х355х59'],Есть в наличии,2 880 руб.
Шкаф усиленный ПРАКТИК ML-11-50U (LS-11-50),"
ВхШхГ, мм: 1830х500х500
Вес, кг: 26
",['1830х500х500'],Есть в наличии,10 150 руб.
Шкаф сушильный ШС Циклон 1965,"
ВхШхГ, мм: 1950х650х600
Вес, кг: 58
",['1950х650х600'],Есть в наличии,47 240 руб.
Картотечный шкаф ПРАКТИК A0-10,"
ВхШхГ, мм: 880х1359х927
Вес, кг: 228
",['880х1359х927'],Есть в наличии,128 120 руб.
Шкаф для кислородного баллона ШГР 40-1-4(40л),"
ВхШхГ, мм: 1631х400х385
Вес, кг: 16.6
",['1631х400х385'],Есть в наличии,7 730 руб.
Шкаф для одежды ШРК-22-800,"
ВхШхГ, мм: 1850х800х500
Вес, кг: 34
",['1850х800х500'],Есть в наличии,14 410 руб.
