title,description,size,availability,price
Стеллаж MS STANDART 1600х700х300 (3 полки),"
ВхШхГ, мм: 1600х700х300
Вес, кг: 9.39
",['1600х700х300'],Есть в наличии,2 770 руб.
Стеллаж MS STRONG 2000х1000х300 (6 полок),"
ВхШхГ, мм: 2000х1000х300
Вес, кг: 22.42
",['2000х1000х300'],Есть в наличии,6 010 руб.
Стеллаж MS HARD 1850х1000х600 (4 полки),"
ВхШхГ, мм: 1850х1000х600
Вес, кг: 29.12
",['1850х1000х600'],Есть в наличии,8 100 руб.
Стеллаж MS Pro Z 2000х1500х500 (4 яруса с секционным настилом),"
ВхШхГ, мм: 2000х1500х500
Вес, кг: 56.72
",['2000х1500х500'],Есть в наличии,17 650 руб.
Стеллаж СФМ 2000х1250х600 (3 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х1250х600
",['2000х1250х600'],Есть в наличии,11 710 руб.
Стеллаж с пластиковыми ящиками 1501-3/2/5,"
ВхШхГ, мм: 1500х1000х360
",['1500х1000х360'],Есть в наличии,22 860 руб.
Стеллаж Everest Beamy SIMPLE 2000х600х300 (5 деревянных полок),"
ВхШхГ, мм: 2000х600х300
",['2000х600х300'],Есть в наличии,7 160 руб.
Стеллаж Форт-5,"
ВхШхГ, мм: 1460х385х490
Вес, кг: 8
",['1460х385х490'],Есть в наличии,4 890 руб.
Стеллаж СТФ 1034-2.0 (2000х1000х300-4),"
ВхШхГ, мм: 2000х1000х300
Вес, кг: 15
",['2000х1000х300'],Есть в наличии,5 430 руб.
Стеллаж металлический ТС Лайт 2000х700х300 (4 перфорированные полки),"
ВхШхГ, мм: 2000х700х300
Вес, кг: 12
",['2000х700х300'],Есть в наличии,6 470 руб.
Стеллаж полочный СПЛб «Base» 1600х600х400 с перфорированной полкой (цинк),"
ВхШхГ, мм: 1600х600х400
",['1600х600х400'],Есть в наличии,5 020 руб.
Стеллаж грузовой СТСМ 3000х2700х1000 (2 яруса),"
ВхШхГ, мм: 3000х2700х1000
",['3000х2700х1000'],Есть в наличии,24 120 руб.
Стеллаж мобильный №212 (1415х950х610),"
ВхШхГ, мм: 1415х950х610
Вес, кг: 101
",['1415х950х610'],Есть в наличии,70 420 руб.
Стеллаж Everest Beamy LUXURY 2000х600х300 (4 металлические полки),"
ВхШхГ, мм: 2000х600х300
",['2000х600х300'],Есть в наличии,8 280 руб.
"Стеллаж паллетный 3500х2700х1100 мм, 2 яруса (Балка СЕТП 2700/1850)","
ВхШхГ, мм: 3500х2700х1100
Вес, кг: 108
",['3500х2700х1100'],Есть в наличии,39 480 руб.
Стеллаж угловой МС-500 2000х1500х1500 (4 уровня глубиной 300 мм),"
ВхШхГ, мм: 2000х1500х1500
",['2000х1500х1500'],Есть в наличии,12 780 руб.
"Стеллаж МКФ 15614-2,5","
ВхШхГ, мм: 2500х1525х610
Вес, кг: 52
",['2500х1525х610'],Есть в наличии,17 190 руб.
"Стеллаж ТИТАН МС-Т 2000х1550х530 (4 яруса, настил фанера)","
ВхШхГ, мм: 2000х1550х530
",['2000х1550х530'],Есть в наличии,13 810 руб.
Медицинский стеллаж СТМ MS 160KD/70х30/4,"
ВхШхГ, мм: 1550х700х300
Вес, кг: 11.4
",['1550х700х300'],Есть в наличии,3 610 руб.
Стеллаж MS STANDART 2000х700х300 (4 полки),"
ВхШхГ, мм: 2000х700х300
Вес, кг: 12.36
",['2000х700х300'],Есть в наличии,3 600 руб.
Стеллаж металлический Профи-Т для шин 2000х1540х455 (3 уровня),"
ВхШхГ, мм: 2000х1540х455
Вес, кг: 30
",['2000х1540х455'],Есть в наличии,11 600 руб.
Стеллаж СТФ 1035-2.0 (2000х1000х300-5),"
ВхШхГ, мм: 2000х1000х300
Вес, кг: 15
",['2000х1000х300'],Есть в наличии,6 260 руб.
Стеллаж MS HARD 2200х1000х300 (5 полок),"
ВхШхГ, мм: 2200х1000х300
Вес, кг: 26.42
",['2200х1000х300'],Есть в наличии,7 610 руб.
Стеллаж СФМ 2000х1250х600 (3 яруса без настила) Цинк,"
ВхШхГ, мм: 2000х1250х600
",['2000х1250х600'],Есть в наличии,6 560 руб.
"Стеллаж грузовой СТСМ 3500х3600х1000 (4 яруса), усиленный","
ВхШхГ, мм: 3500х3600х1000
",['3500х3600х1000'],Есть в наличии,49 780 руб.
Стеллаж полочный СПЛн «Norma Inox» 1600х1500х400 со сплошной полкой (нерж.сталь),"
ВхШхГ, мм: 1600х1500х400
",['1600х1500х400'],Есть в наличии,11 690 руб.
Стеллаж полочный СПЛн «Norma Inox» 1800х800х400 со сплошной полкой (нерж.сталь),"
ВхШхГ, мм: 1800х800х400
",['1800х800х400'],Есть в наличии,8 850 руб.
"Стеллаж торговый пристенный бонетный 1765х1030х530 (3 полки 226, 300, 400)","
ВхШхГ, мм: 1765х1030х530
",['1765х1030х530'],Нет в наличии,9 690 руб.
"Стеллаж торговый пристенный 1900х1030х570 (5 полок 226, 300, 500)","
ВхШхГ, мм: 1900х1030х570
",['1900х1030х570'],Нет в наличии,16 130 руб.
Стеллаж SGR-V 1565-3.0,"
ВхШхГ, мм: 3000х1500х600
Вес, кг: 94.85
",['3000х1500х600'],Есть в наличии,33 180 руб.
Стеллаж металлический Профи-Т 2500х1845х455 (5 сплошных оцинкованных мет. усиленных полок),"
ВхШхГ, мм: 2500х1845х455
Вес, кг: 78
",['2500х1845х455'],Есть в наличии,31 740 руб.
Стеллаж MS STANDART 1600х1000х500 (3 полки),"
ВхШхГ, мм: 1600х1000х500
Вес, кг: 14.19
",['1600х1000х500'],Есть в наличии,4 000 руб.
Стеллаж MS STANDART 2550х1000х600 (4 полки),"
ВхШхГ, мм: 2550х1000х600
Вес, кг: 22.72
",['2550х1000х600'],Есть в наличии,6 520 руб.
Стеллаж MS STRONG 1850х1200х400 (3 полки),"
ВхШхГ, мм: 1850х1200х400
Вес, кг: 16.84
",['1850х1200х400'],Есть в наличии,5 030 руб.
Стеллаж MS STRONG 2200х1000х300 (6 полок),"
ВхШхГ, мм: 2200х1000х300
Вес, кг: 23.22
",['2200х1000х300'],Есть в наличии,6 230 руб.
Стеллаж MS STRONG 1850х1200х800 (4 полки),"
ВхШхГ, мм: 1850х1200х800
Вес, кг: 32.28
",['1850х1200х800'],Есть в наличии,9 840 руб.
Стеллаж металлический Профи-Т 2000х1240х1005 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1240х1005
Вес, кг: 73
",['2000х1240х1005'],Есть в наличии,33 080 руб.
Стеллаж металлический Профи-Т 2000х1845х1005 (3 перфорированные оцинкованные мет. полки),"
ВхШхГ, мм: 2000х1845х1005
Вес, кг: 76
",['2000х1845х1005'],Есть в наличии,33 800 руб.
Стеллаж с пластиковыми ящиками А-01-02-06,"
ВхШхГ, мм: 1515х735х330
",['1515х735х330'],Есть в наличии,36 530 руб.
Стеллаж с пластиковыми ящиками C1 00-00-08,"
ВхШхГ, мм: 1515х1150х330
",['1515х1150х330'],Есть в наличии,44 610 руб.
Стеллаж грузовой СТСМ 4000х3600х1000 (3 яруса),"
ВхШхГ, мм: 4000х3600х1000
",['4000х3600х1000'],Есть в наличии,42 090 руб.
Стеллаж металлический Профи-Т 2500х1540х500 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х500
Вес, кг: 61
",['2500х1540х500'],Есть в наличии,24 250 руб.
Стеллаж металлический Профи-Т 2500х1845х455 (4 сплошные оцинкованные мет. полки),"
ВхШхГ, мм: 2500х1845х455
Вес, кг: 66
",['2500х1845х455'],Есть в наличии,25 500 руб.
Стеллаж металлический Профи-Т 3000х1845х500 (5 сплошных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1845х500
Вес, кг: 85
",['3000х1845х500'],Есть в наличии,35 820 руб.
Стеллаж металлический Профи-Т 3000х1540х455 (5 перфорированных оцинкованных мет. усиленных полок),"
ВхШхГ, мм: 3000х1540х455
Вес, кг: 73
",['3000х1540х455'],Есть в наличии,36 800 руб.
Стеллаж MS STRONG 2550х1500х300 (6 полок),"
ВхШхГ, мм: 2550х1500х300
Вес, кг: 32.44
",['2550х1500х300'],Есть в наличии,9 710 руб.
Стеллаж MS STRONG 2750х1000х700 (6 полок),"
ВхШхГ, мм: 2750х1000х700
Вес, кг: 39.22
",['2750х1000х700'],Есть в наличии,11 100 руб.
Стеллаж СФМ 3000х1250х600 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 3000х1250х600
",['3000х1250х600'],Есть в наличии,15 700 руб.
Стеллаж металлический Профи-Т 3000х1540х770 (5 сплошных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1540х770
Вес, кг: 93
",['3000х1540х770'],Есть в наличии,39 200 руб.
Стеллаж металлический Профи-Т 3000х1240х1005 (6 перфорированных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1240х1005
Вес, кг: 108
",['3000х1240х1005'],Есть в наличии,53 270 руб.
Стеллаж SGR-V-Zn 18104-2.5,"
ВхШхГ, мм: 2500х1800х1000
Вес, кг: 102
",['2500х1800х1000'],Есть в наличии,37 840 руб.
Стеллаж металлический ТС Лайт 2200х700х800 (4 перфорированные полки),"
ВхШхГ, мм: 2200х700х800
Вес, кг: 20
",['2200х700х800'],Есть в наличии,12 030 руб.
"Стеллаж торговый островной стенка-сетка 1750х695х1070 (10 полок 226, 300, 500)","
ВхШхГ, мм: 1750х695х1070
",['1750х695х1070'],Нет в наличии,18 920 руб.
