title,description,size,availability,price
Верстак GARAGE SET 2,"
ВхШхГ, мм: 1500х1000х500
Вес, кг: 32
",['1500х1000х500'],Есть в наличии,10 830 руб.
Верстак PROFI W (№108) WT100.F1.F1.000,"
ВхШхГ, мм: 870х1000х700
Вес, кг: 38
",['870х1000х700'],Есть в наличии,9 950 руб.
Верстак ВП-2,"
ВхШхГ, мм: 860х1390х685
Вес, кг: 57
",['860х1390х685'],Есть в наличии,18 200 руб.
Верстак TNC 121.11.3,"
ВхШхГ, мм: 855х1196х696
Вес, кг: 38
",['855х1196х696'],Есть в наличии,18 960 руб.
Верстак GARAGE №112,"
ВхШхГ, мм: 920х1000х500
Вес, кг: 20
",['920х1000х500'],Есть в наличии,5 490 руб.
Верстак ВТ-1.2 с тумбой,"
ВхШхГ, мм: 850х1200х685
Вес, кг: 52.6
",['850х1200х685'],Есть в наличии,21 230 руб.
Верстак GARAGE №111,"
ВхШхГ, мм: 930х1013х500
Вес, кг: 13.9
",['930х1013х500'],Есть в наличии,5 240 руб.
Верстак MASTER (№101) MT100.MF1/MF1.000,"
ВхШхГ, мм: 870х1000х500
Вес, кг: 29
",['870х1000х500'],Есть в наличии,8 270 руб.
Верстак ВС-1,"
ВхШхГ, мм: 850х1000х685
Вес, кг: 33.4
",['850х1000х685'],Есть в наличии,12 580 руб.
Верстак ТВР1200,"
ВхШхГ, мм: 1120х1208х755
Вес, кг: 70
",['1120х1208х755'],Есть в наличии,27 170 руб.
Верстак Iron Wood 5ft DAD`s Garage,"
ВхШхГ, мм: 900х1500х800
Вес, кг: 110
",['900х1500х800'],Есть в наличии,90 240 руб.
Верстак PROFI W (№603) WT160.WD1.WD5.000,"
ВхШхГ, мм: 870х1600х700
Вес, кг: 110
",['870х1600х700'],Есть в наличии,30 910 руб.
Верстак TNC 181.47.2-2F,"
ВхШхГ, мм: 1965х1796х696
Вес, кг: 132.3
",['1965х1796х696'],Есть в наличии,80 480 руб.
Верстак ВП-4,"
ВхШхГ, мм: 860х1900х685
Вес, кг: 101
",['860х1900х685'],Есть в наличии,32 720 руб.
Верстак WK1500(Т5),"
ВхШхГ, мм: 857х1508х755
Вес, кг: 89
",['857х1508х755'],Есть в наличии,39 520 руб.
Верстак PROFI W WT120.F1.F1.011,"
ВхШхГ, мм: 1370х1200х700
Вес, кг: 58
",['1370х1200х700'],Есть в наличии,20 000 руб.
Верстак ВЛ-150-03 Ф + Экран ВЛ-150-Э3,"
ВхШхГ, мм: 2052х1500х700
Вес, кг: 97.4
",['2052х1500х700'],Есть в наличии,75 530 руб.
