title,availability,price,category,shop,weight
Медицинский стеллаж СТМ MS 160KD/70х30/4,1,3610.0,Медицинская мебель,Железная мебель,['11.4']
Аптечка «Железная мебель»,1,1200.0,Медицинская мебель,Железная мебель,[]
Рециркулятор бактерицидный настольный МСК-3918,1,2350.0,Медицинская мебель,Железная мебель,['5']
Аптечка AMD-39,1,2350.0,Медицинская мебель,Железная мебель,['2.5']
Рециркулятор RUV-1004 START,1,4170.0,Медицинская мебель,Железная мебель,['1.1']
Шкаф медицинский HILFE МД 2 1670/SS,1,13350.0,Медицинская мебель,Железная мебель,['33.3']
Шкаф медицинский HILFE МД 2 1780 R-1,1,24310.0,Медицинская мебель,Железная мебель,['49.3']
Медицинский стеллаж СТМ MS 200KD/100х50/4,1,5560.0,Медицинская мебель,Железная мебель,['19.9']
Медицинский стеллаж СТМ MS 200/100х40/6,1,6370.0,Медицинская мебель,Железная мебель,['21']
Шкаф медицинский HILFE МД 1 1657/SG,1,12630.0,Медицинская мебель,Железная мебель,['29.3']
Аптечка АМ - 1,1,1760.0,Медицинская мебель,Железная мебель,['4']
Аптечка АУ-1,1,1890.0,Медицинская мебель,Железная мебель,['4']
Шкаф медицинский М1 165.50.32 М,1,12490.0,Медицинская мебель,Железная мебель,['24']
Аптечка AMD-39G,1,3000.0,Медицинская мебель,Железная мебель,['3']
Шкаф медицинский HILFE МД 2 1670/SG,1,13350.0,Медицинская мебель,Железная мебель,['35.5']
Аптечка ЕА,1,2230.0,Медицинская мебель,Железная мебель,[]
Рециркулятор бактерицидный МСК-910,1,3830.0,Медицинская мебель,Железная мебель,['6']
Шкаф медицинский HILFE МД 2 1780/SS,1,16750.0,Медицинская мебель,Железная мебель,['41.5']
Шкаф медицинский МД 2 ШМ-SS,1,10510.0,Медицинская мебель,Железная мебель,['29.2']
Шкаф медицинский HILFE МД 1 1650/SS,1,12300.0,Медицинская мебель,Железная мебель,['24.9']
Шкаф медицинский HILFE МД 1 1650/SG,1,12300.0,Медицинская мебель,Железная мебель,['26.6']
Шкаф медицинский МСК-2922.800 (ШМм-МСК),1,19360.0,Медицинская мебель,Железная мебель,['42']
Медицинский стеллаж СТМ MS 200KD/100х30/4,1,4370.0,Медицинская мебель,Железная мебель,['13.5']
Рециркулятор бактерицидный МСК-925.2,1,3300.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МД 1 ШМ-SS,1,10730.0,Медицинская мебель,Железная мебель,['24']
Медицинский стеллаж СТМ MS 200/100х30/6,1,5460.0,Медицинская мебель,Железная мебель,['18.2']
Медицинский стеллаж СТМ MS 220/100х40/6,1,6690.0,Медицинская мебель,Железная мебель,['21.5']
Шкаф для одежды MF LH-2 1980 (Белое дерево),1,16240.0,Медицинская мебель,Железная мебель,['86']
Рециркулятор ОВУ-01П Солярис,1,5030.0,Медицинская мебель,Железная мебель,['1.5']
Медицинский стеллаж СТМ MS 185/100х40/4,1,4630.0,Медицинская мебель,Железная мебель,['15.3']
Шкаф медицинский HILFE МД 1 1760 R,1,15980.0,Медицинская мебель,Железная мебель,['35.3']
Рециркулятор бактерицидный МСК-909,1,4790.0,Медицинская мебель,Железная мебель,['5']
Картотечный шкаф МСК-831.03 (3 ящика),1,31470.0,Медицинская мебель,Железная мебель,['57']
Медицинский стеллаж СТМ MS 185KD/70х30/4,1,3770.0,Медицинская мебель,Железная мебель,['11.6']
Шкаф медицинский М1 165.57.32 М ,1,12680.0,Медицинская мебель,Железная мебель,['26']
Медицинский стеллаж СТМ MS 200/100х60/6,1,8280.0,Медицинская мебель,Железная мебель,['29.8']
Шкаф медицинский М2 175.80.40 М,1,16920.0,Медицинская мебель,Железная мебель,['40']
Шкаф для белья и одежды МД-505.02 (ШМБО-МСК),1,17470.0,Медицинская мебель,Железная мебель,['70']
Медицинский стеллаж СТМ MS 200KD/100х40/4,1,4950.0,Медицинская мебель,Железная мебель,['15.5']
Шкаф медицинский М2 175.80.40 C,1,16920.0,Медицинская мебель,Железная мебель,['47']
Шкаф для одежды МД-511 (ШМО-МСК),1,10120.0,Медицинская мебель,Железная мебель,['35']
Медицинский стеллаж СТМ MS 220/100х30/6,1,5770.0,Медицинская мебель,Железная мебель,['19']
Шкаф медицинский ШММ-2 с трейзером,1,27150.0,Медицинская мебель,Железная мебель,[]
Шкаф для белья и одежды МД-506 (ШМБО-МСК),1,12720.0,Медицинская мебель,Железная мебель,['45']
Медицинский стеллаж СТМ MS 220/100х60/6,1,8590.0,Медицинская мебель,Железная мебель,['30.3']
Рециркулятор RUV-3001,1,7170.0,Медицинская мебель,Железная мебель,[]
Шкаф для хранения документации МД-504,1,17850.0,Медицинская мебель,Железная мебель,['45']
Картотечный шкаф МСК-831.02 (2 ящика),1,21650.0,Медицинская мебель,Железная мебель,['57']
Шкаф медицинский HILFE МД 1 1760 R-1,1,18680.0,Медицинская мебель,Железная мебель,['34.3']
Рециркулятор бактерицидный МСК-913,1,5760.0,Медицинская мебель,Железная мебель,['5']
Медицинский стеллаж СТМ MS 200KD/100х60/4,1,6530.0,Медицинская мебель,Железная мебель,['20.5']
Шкаф медицинский HILFE МД 1 1657/SS,1,12630.0,Медицинская мебель,Железная мебель,['27.1']
Шкаф медицинский HILFE МД 2 1780/SG,1,16750.0,Медицинская мебель,Железная мебель,['45.1']
Рециркулятор бактерицидный МСК-925,1,2840.0,Медицинская мебель,Железная мебель,['4']
