title,size,price
"

                                    Медицинский шкаф HILFE МД 1 1760/SS                                 


Высота, мм
1750/1850


Ширина, мм
600


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">400</td>]",16 753 руб.
"

                                    Стол процедурный МД SP 3N new                                 


Высота, мм
960


Ширина, мм
620


Глубина, мм
450



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">620</td>, <td class=""bxr-props-table-value"">450</td>]",11 831 руб.
"

                                    Банкетка медицинская со спинкой МД БС                                 


Высота, мм
840


Ширина, мм
1500


Глубина, мм
500



","[<td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">1500</td>, <td class=""bxr-props-table-value"">500</td>]",11 241 руб.
"

                                    Сейф-термостат VALBERG TS - 3/12 мод. ASK-30                                 


Высота, мм
410


Ширина, мм
440


Глубина, мм
380



","[<td class=""bxr-props-table-value"">410</td>, <td class=""bxr-props-table-value"">440</td>, <td class=""bxr-props-table-value"">380</td>]",203 014 руб.
"

                                    Банкетка медицинская МД Б                                 


Высота, мм
450


Ширина, мм
1500


Глубина, мм
450



","[<td class=""bxr-props-table-value"">450</td>, <td class=""bxr-props-table-value"">1500</td>, <td class=""bxr-props-table-value"">450</td>]",7 432 руб.
"

                                    Медицинская кровать КМ-04                                 


Высота, мм
830


Ширина, мм
2178


Глубина, мм
957



","[<td class=""bxr-props-table-value"">830</td>, <td class=""bxr-props-table-value"">2178</td>, <td class=""bxr-props-table-value"">957</td>]",40 759 руб.
"

                                    Архивный медицинский шкаф ПРАКТИК МД М 18                                 


Высота, мм
1830


Ширина, мм
915


Глубина, мм
370



","[<td class=""bxr-props-table-value"">1830</td>, <td class=""bxr-props-table-value"">915</td>, <td class=""bxr-props-table-value"">370</td>]",16 448 руб.
"

                                    Стол процедурный МД SP 2N                                 


Высота, мм
960


Ширина, мм
630


Глубина, мм
470



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">630</td>, <td class=""bxr-props-table-value"">470</td>]",9 612 руб.
"

                                    Аптечка AMD-39                                 


Высота, мм
390


Ширина, мм
300


Глубина, мм
160



","[<td class=""bxr-props-table-value"">390</td>, <td class=""bxr-props-table-value"">300</td>, <td class=""bxr-props-table-value"">160</td>]",2 278 руб.
"

                                    Медицинский шкаф HILFE МД 1 1650/SG                                 


Высота, мм
1655/1755


Ширина, мм
500


Глубина, мм
320



","[<td class=""bxr-props-table-value"">1655/1755</td>, <td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">320</td>]",13 428 руб.
"

                                    Тележка МД ТБЛ-01                                 


Высота, мм
490-990


Ширина, мм
2110


Глубина, мм
760



","[<td class=""bxr-props-table-value"">490-990</td>, <td class=""bxr-props-table-value"">2110</td>, <td class=""bxr-props-table-value"">760</td>]",96 652 руб.
"

                                    Медицинская картотека Практик МД AFC-04                                 


Высота, мм
1330


Ширина, мм
470


Глубина, мм
630



","[<td class=""bxr-props-table-value"">1330</td>, <td class=""bxr-props-table-value"">470</td>, <td class=""bxr-props-table-value"">630</td>]",27 839 руб.
"

                                    Медицинский шкаф HILFE МД 1 1650/SS                                 


Высота, мм
1655/1755


Ширина, мм
500


Глубина, мм
320



","[<td class=""bxr-props-table-value"">1655/1755</td>, <td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">320</td>]",13 428 руб.
"

                                    Медицинский шкаф HILFE МД 1 1760 R                                 


Высота, мм
1750/1850


Ширина, мм
600


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">400</td>]",17 028 руб.
"

                                    Трейзер МД 1 1650                                 


Высота, мм
240


Ширина, мм
427


Глубина, мм
252



","[<td class=""bxr-props-table-value"">240</td>, <td class=""bxr-props-table-value"">427</td>, <td class=""bxr-props-table-value"">252</td>]",4 262 руб.
"

                                    Архивный медицинский шкаф ПРАКТИК МД CB-12                                 


Высота, мм
1860


Ширина, мм
850


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1860</td>, <td class=""bxr-props-table-value"">850</td>, <td class=""bxr-props-table-value"">400</td>]",15 349 руб.
"

                                    Медицинский шкаф HILFE МД 2 1780/SS                                 


Высота, мм
1750/1850


Ширина, мм
800


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">800</td>, <td class=""bxr-props-table-value"">400</td>]",18 292 руб.
"

                                    Кушетка медицинская смотровая МД КС-01                                 


Высота, мм
560


Ширина, мм
1960


Глубина, мм
730



","[<td class=""bxr-props-table-value"">560</td>, <td class=""bxr-props-table-value"">1960</td>, <td class=""bxr-props-table-value"">730</td>]",23 746 руб.
"

                                    Сейф-термостат VALBERG TS - 3/50                                 


Высота, мм
1170


Ширина, мм
510


Глубина, мм
510



","[<td class=""bxr-props-table-value"">1170</td>, <td class=""bxr-props-table-value"">510</td>, <td class=""bxr-props-table-value"">510</td>]",336 809 руб.
"

                                    Медицинский шкаф для одежды ПРАКТИК МД LS(LE)-21                                 


Высота, мм
1830


Ширина, мм
575


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1830</td>, <td class=""bxr-props-table-value"">575</td>, <td class=""bxr-props-table-value"">500</td>]",10 826 руб.
"

                                    Штанга для подвески ручных опор МД 2                                 


Высота, мм
1270


Ширина, мм
570


Глубина, мм
38



","[<td class=""bxr-props-table-value"">1270</td>, <td class=""bxr-props-table-value"">570</td>, <td class=""bxr-props-table-value"">38</td>]",4 633 руб.
"

                                    Стол процедурный МД SP 2G                                 


Высота, мм
960


Ширина, мм
630


Глубина, мм
470



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">630</td>, <td class=""bxr-props-table-value"">470</td>]",7 008 руб.
"

                                    Аптечка AMD-39G                                 


Высота, мм
390


Ширина, мм
300


Глубина, мм
160



","[<td class=""bxr-props-table-value"">390</td>, <td class=""bxr-props-table-value"">300</td>, <td class=""bxr-props-table-value"">160</td>]",3 070 руб.
"

                                    Кушетка медицинская смотровая МД КС                                 


Высота, мм
560


Ширина, мм
1930


Глубина, мм
670



","[<td class=""bxr-props-table-value"">560</td>, <td class=""bxr-props-table-value"">1930</td>, <td class=""bxr-props-table-value"">670</td>]",13 560 руб.
"

                                    Стол манипуляционный МД SM 6                                 


Высота, мм
960


Ширина, мм
600


Глубина, мм
430



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">430</td>]",30 223 руб.
"

                                    Медицинская картотека Практик МД A 43                                 


Высота, мм
995


Ширина, мм
408


Глубина, мм
485



","[<td class=""bxr-props-table-value"">995</td>, <td class=""bxr-props-table-value"">408</td>, <td class=""bxr-props-table-value"">485</td>]",19 387 руб.
"

                                    Рама Балканского КМ Н                                 


Высота, мм
1400


Ширина, мм
2191


Глубина, мм
50



","[<td class=""bxr-props-table-value"">1400</td>, <td class=""bxr-props-table-value"">2191</td>, <td class=""bxr-props-table-value"">50</td>]",9 691 руб.
"

                                    Медицинская тумба МД ТП L-5                                 


Высота, мм
860


Ширина, мм
450


Глубина, мм
466



","[<td class=""bxr-props-table-value"">860</td>, <td class=""bxr-props-table-value"">450</td>, <td class=""bxr-props-table-value"">466</td>]",15 329 руб.
"

                                    Ограждения боковые КМ 3                                 


Высота, мм
370


Ширина, мм
1020


Глубина, мм
70



","[<td class=""bxr-props-table-value"">370</td>, <td class=""bxr-props-table-value"">1020</td>, <td class=""bxr-props-table-value"">70</td>]",6 312 руб.
"

                                    Медицинский шкаф HILFE МД 1 1760/SG                                 


Высота, мм
1750/1850


Ширина, мм
600


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">600</td>, <td class=""bxr-props-table-value"">400</td>]",16 753 руб.
"

                                    Штанга для подвески ручных опор МД 1                                 


Высота, мм
1275


Ширина, мм
565


Глубина, мм
30



","[<td class=""bxr-props-table-value"">1275</td>, <td class=""bxr-props-table-value"">565</td>, <td class=""bxr-props-table-value"">30</td>]",4 924 руб.
"

                                    Стол манипуляционный МД SM 2 New                                 


Высота, мм
960


Ширина, мм
620


Глубина, мм
450



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">620</td>, <td class=""bxr-props-table-value"">450</td>]",19 547 руб.
"

                                    Стол манипуляционный МД SM 1 new                                 


Высота, мм
960


Ширина, мм
620


Глубина, мм
450



","[<td class=""bxr-props-table-value"">960</td>, <td class=""bxr-props-table-value"">620</td>, <td class=""bxr-props-table-value"">450</td>]",12 900 руб.
"

                                    Медицинский шкаф для одежды ПРАКТИК МД LS(LE)-21-80                                 


Высота, мм
1830


Ширина, мм
813


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1830</td>, <td class=""bxr-props-table-value"">813</td>, <td class=""bxr-props-table-value"">500</td>]",13 604 руб.
"

                                    Трейзер  MД 2 1670                                 


Высота, мм
240


Ширина, мм
627


Глубина, мм
252



","[<td class=""bxr-props-table-value"">240</td>, <td class=""bxr-props-table-value"">627</td>, <td class=""bxr-props-table-value"">252</td>]",5 379 руб.
"

                                    Медицинская кровать КМ-01                                 


Высота, мм
840


Ширина, мм
2055


Глубина, мм
905



","[<td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">2055</td>, <td class=""bxr-props-table-value"">905</td>]",22 866 руб.
"

                                    Медицинский шкаф для одежды МД 2 ШМ-SS                                 


Высота, мм
1830/1900


Ширина, мм
575


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1830/1900</td>, <td class=""bxr-props-table-value"">575</td>, <td class=""bxr-props-table-value"">500</td>]",11 479 руб.
"

                                    Архивный медицинский шкаф ПРАКТИК МД СВ-14                                 


Высота, мм
1860


Ширина, мм
850


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1860</td>, <td class=""bxr-props-table-value"">850</td>, <td class=""bxr-props-table-value"">500</td>]",17 248 руб.
"

                                    Медицинская тумба  МД ТП-2                                 


Высота, мм
710/652.5


Ширина, мм
420


Глубина, мм
490



","[<td class=""bxr-props-table-value"">710/652.5</td>, <td class=""bxr-props-table-value"">420</td>, <td class=""bxr-props-table-value"">490</td>]",8 765 руб.
"

                                    Медицинский шкаф HILFE МД 2 1780 R                                 


Высота, мм
1750/1850


Ширина, мм
800


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">800</td>, <td class=""bxr-props-table-value"">400</td>]",22 436 руб.
"

                                    Медицинский стеллаж СТМ MS 185/100х30/4                                 


Высота, мм
1850


Ширина, мм
1000


Глубина, мм
300



","[<td class=""bxr-props-table-value"">1850</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">300</td>]",4 535 руб.
"

                                    Штатив медицинский КМ МШ-1                                 


Высота, мм
1075(1815*)


Ширина, мм
251


Глубина, мм
92



","[<td class=""bxr-props-table-value"">1075(1815*)</td>, <td class=""bxr-props-table-value"">251</td>, <td class=""bxr-props-table-value"">92</td>]",1 775 руб.
"

                                    Шкаф для одежды MW-2 1980 белый                                 


Высота, мм
1926


Ширина, мм
800


Глубина, мм
550



","[<td class=""bxr-props-table-value"">1926</td>, <td class=""bxr-props-table-value"">800</td>, <td class=""bxr-props-table-value"">550</td>]",16 144 руб.
"

                                    Медицинский стеллаж СТМ MS 200/100х60/6                                 


Высота, мм
2000


Ширина, мм
1000


Глубина, мм
600



","[<td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">600</td>]",9 311 руб.
"

                                    Сейф-термостат VALBERG TS - 3/12                                 


Высота, мм
680


Ширина, мм
510


Глубина, мм
510



","[<td class=""bxr-props-table-value"">680</td>, <td class=""bxr-props-table-value"">510</td>, <td class=""bxr-props-table-value"">510</td>]",257 992 руб.
"

                                    Медицинский шкаф HILFE МД 2 1780 R-5                                 


Высота, мм
1750/1850


Ширина, мм
800


Глубина, мм
400



","[<td class=""bxr-props-table-value"">1750/1850</td>, <td class=""bxr-props-table-value"">800</td>, <td class=""bxr-props-table-value"">400</td>]",32 472 руб.
"

                                    Медицинская тумба МД ТП L-6                                 


Высота, мм
720/645


Ширина, мм
420


Глубина, мм
490



","[<td class=""bxr-props-table-value"">720/645</td>, <td class=""bxr-props-table-value"">420</td>, <td class=""bxr-props-table-value"">490</td>]",12 371 руб.
"

                                    Стол манипуляционный МД SM N (для забора крови)                                 


Высота, мм
890/900


Ширина, мм
680


Глубина, мм
440



","[<td class=""bxr-props-table-value"">890/900</td>, <td class=""bxr-props-table-value"">680</td>, <td class=""bxr-props-table-value"">440</td>]",5 221 руб.
"

                                    Медицинский шкаф для одежды ПРАКТИК МД LS(LE)-31                                 


Высота, мм
1830


Ширина, мм
850


Глубина, мм
500



","[<td class=""bxr-props-table-value"">1830</td>, <td class=""bxr-props-table-value"">850</td>, <td class=""bxr-props-table-value"">500</td>]",15 903 руб.
"

                                    Медицинская кровать КМ-10                                 


Высота, мм
840


Ширина, мм
2060


Глубина, мм
900



","[<td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">2060</td>, <td class=""bxr-props-table-value"">900</td>]",22 966 руб.
"

                                    Тележка МД ТБН                                 


Высота, мм
800


Ширина, мм
2160


Глубина, мм
660



","[<td class=""bxr-props-table-value"">800</td>, <td class=""bxr-props-table-value"">2160</td>, <td class=""bxr-props-table-value"">660</td>]",34 197 руб.
"

                                    Штатив медицинский КМ МШ-2                                 


Высота, мм
1700


Ширина, мм
267


Глубина, мм
192



","[<td class=""bxr-props-table-value"">1700</td>, <td class=""bxr-props-table-value"">267</td>, <td class=""bxr-props-table-value"">192</td>]",1 544 руб.
"

                                    Медицинский стеллаж СТМ MS 220/100х40/6                                 


Высота, мм
2200


Ширина, мм
1000


Глубина, мм
400



","[<td class=""bxr-props-table-value"">2200</td>, <td class=""bxr-props-table-value"">1000</td>, <td class=""bxr-props-table-value"">400</td>]",7 525 руб.
