title,description,size,price
Стеллаж MS Pro 1200/1353x606 стационарный для хранения 8 шин *,"

Вес, кг

						23.6					



Габариты, мм

						1200x1353x610					


",['1200x1353x610'],По запросу
Стеллаж MS Pro 1350/781x606 передвижной для хранения 4 шин *,"

Вес, кг

						25.5					



Габариты, мм

						1380x740x620					


",['1380x740x620'],По запросу
Стеллаж MS Standart 150KD/75x40/4,"

Вес, кг

						10.92					



Габариты, мм

						1450x750x400					


",['1450x750x400'],"
						4 741						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 220/100x40/6,"

Вес, кг

						19.57					



Габариты, мм

						2200x1000x400					


",['2200x1000x400'],"
						7 745						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 220/100x30/6,"

Вес, кг

						16.99					



Габариты, мм

						2200x1000x300					


",['2200x1000x300'],"
						6 690						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/100x60/6,"

Вес, кг

						25					



Габариты, мм

						2000x1000x600					


",['2000x1000x600'],"
						9 584						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/100x40/6,"

Вес, кг

						19.01					



Габариты, мм

						2000x1000x400					


",['2000x1000x400'],"
						7 376						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/100x30/6,"

Вес, кг

						16					



Габариты, мм

						2000x1000x300					


",['2000x1000x300'],"
						6 321						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 185/100x60/4,"

Вес, кг

						18.36					



Габариты, мм

						1850x1000x600					


",['1850x1000x600'],"
						6 840						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 185/100x40/4,"

Вес, кг

						13					



Габариты, мм

						1850x1000x400					


",['1850x1000x400'],"
						5 362						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 185/100x30/4,"

Вес, кг

						12.1					



Габариты, мм

						1850x1000x300					


",['1850x1000x300'],"
						4 658						
							 руб.							за 1 шт

"
Стеллаж MS Standart 200KD/100x60/4,"

Вес, кг

						18.65					



Габариты, мм

						1950x1000x600					


",['1950x1000x600'],"
						7 565						
							 руб.							за 1 шт

"
Стеллаж MS Standart 200KD/100x50/4,"

Вес, кг

						15.87					



Габариты, мм

						1950x1000x500					


",['1950x1000x500'],"
						6 439						
							 руб.							за 1 шт

"
Стеллаж MS Standart 200KD/100x40/4,"

Вес, кг

						14.11					



Габариты, мм

						1950x1000x400					


",['1950x1000x400'],"
						5 735						
							 руб.							за 1 шт

"
Стеллаж MS Standart 200KD/100x30/4,"

Вес, кг

						12.39					



Габариты, мм

						1950x1000x300					


",['1950x1000x300'],"
						5 067						
							 руб.							за 1 шт

"
Стеллаж MS Standart 185KD/70x30/4,"

Вес, кг

						9.93					



Габариты, мм

						1800x700x300					


",['1800x700x300'],"
						4 372						
							 руб.							за 1 шт

"
Стеллаж SBL 200KD/120x40/5,"

Вес, кг

						22.2					



Габариты, мм

						2000x1200x400					


",['2000x1200x400'],"
						7 413						
							 руб.							за 1 шт

"
Стеллаж SBL 200KD/120x45/5,"

Вес, кг

						28.4					



Габариты, мм

						2000x1200x450					


",['2000x1200x450'],"
						8 131						
							 руб.							за 1 шт

"
Стеллаж SB 300x183x91/6,"

Вес, кг

						127					



Габариты, мм

						3000x1842x925					


",['3000x1842x925'],"
						33 625						
							 руб.							за 1 шт

"
Стеллаж SB 300x183x61/6,"

Вес, кг

						90.2					



Габариты, мм

						3000x1842x621					


",['3000x1842x621'],"
						29 888						
							 руб.							за 1 шт

"
Стеллаж SB 300x152x76/5,"

Вес, кг

						77.3					



Габариты, мм

						3000x1537x773					


",['3000x1537x773'],"
						23 820						
							 руб.							за 1 шт

"
Стеллаж SB 250x183x76/5,"

Вес, кг

						86.4					



Габариты, мм

						2500x1842x773					


",['2500x1842x773'],"
						25 406						
							 руб.							за 1 шт

"
Стеллаж SB 250x183x61/4,"

Вес, кг

						62					



Габариты, мм

						2500x1842x621					


",['2500x1842x621'],"
						20 148						
							 руб.							за 1 шт

"
Стеллаж SB 250x152x91/5,"

Вес, кг

						85.1					



Габариты, мм

						2500x1537x925					


",['2500x1537x925'],"
						25 210						
							 руб.							за 1 шт

"
Стеллаж SB 250x152x61/4,"

Вес, кг

						54.9					



Габариты, мм

						2500x1537x621					


",['2500x1537x621'],"
						16 642						
							 руб.							за 1 шт

"
Стеллаж SB 250x152x51/4,"

Вес, кг

						49.1					



Габариты, мм

						2500x1537x518					


",['2500x1537x518'],"
						15 393						
							 руб.							за 1 шт

"
Стеллаж SB 200x183x76/4,"

Вес, кг

						69.2					



Габариты, мм

						2000x1842x773					


",['2000x1842x773'],"
						20 559						
							 руб.							за 1 шт

"
Стеллаж SB 200x183x61/4 c оцинкованным настилом,"

Вес, кг

						32					



Габариты, мм

						2000x1842x621					


",['2000x1842x621'],"
						27 494						
							 руб.							за 1 шт

"
Стеллаж SB 200x183x61/4,"

Вес, кг

						60.2					



Габариты, мм

						2000x1842x621					


",['2000x1842x621'],"
						19 514						
							 руб.							за 1 шт

"
Стеллаж SB 200x183x51/4 c оцинкованным настилом,"

Вес, кг

						31					



Габариты, мм

						2000x1842x518					


",['2000x1842x518'],"
						24 576						
							 руб.							за 1 шт

"
Стеллаж SB 200x183x51/4,"

Вес, кг

						50.1					



Габариты, мм

						2000x1842x518					


",['2000x1842x518'],"
						18 999						
							 руб.							за 1 шт

"
Стеллаж MS Pro 200/150x60/3 b,"

Вес, кг

						68					



Габариты, мм

						1996x1612x603					


",['1996x1612x603'],"
						18 691						
							 руб.							за 1 шт

"
Стеллаж SB 200x152x61/5,"

Вес, кг

						64.5					



Габариты, мм

						2000x1537x621					


",['2000x1537x621'],"
						19 083						
							 руб.							за 1 шт

"
