title,description,size,availability,price
Банкетка медицинская МД Б (Слоновая кость),"
ВхШхГ, мм: 450х1500х450
Вес, кг: 15.3
",['450х1500х450'],Есть в наличии,7 040 руб.
Банкетка БМВ-01С,"
ВхШхГ, мм: 830х1500х510
Вес, кг: 25
",['830х1500х510'],Есть в наличии,10 780 руб.
Банкетка медицинская МСК-207 (БЛ-МСК),"
ВхШхГ, мм: 400х1500х440
Вес, кг: 14
",['400х1500х440'],Нет в наличии,5 660 руб.
Банкетка медицинская со спинкой МД БС (Слоновая кость),"
ВхШхГ, мм: 840х1500х500
Вес, кг: 22.1
",['840х1500х500'],Есть в наличии,10 660 руб.
Банкетка БМВ-01,"
ВхШхГ, мм: 430х1500х450
Вес, кг: 15
",['430х1500х450'],Есть в наличии,7 170 руб.
Банкетка медицинская МСК-216 (БЛ-МСК),"
ВхШхГ, мм: 440х1150х400
Вес, кг: 11
",['440х1150х400'],Нет в наличии,4 870 руб.
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,5 170 руб.
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,6 120 руб.
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,8 060 руб.
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1500х380
",['530х1500х380'],Есть в наличии,7 520 руб.
Банкетка медицинская металлическая,"
ВхШхГ, мм: 450х420х1420
Вес, кг: 15
",['450х420х1420'],Есть в наличии,9 460 руб.
Банкетка медицинская МСК-208 (БЛ-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,8 230 руб.
Банкетка медицинская Б01 (Чёрный),"
ВхШхГ, мм: 450х980х415
Вес, кг: 8
",['450х980х415'],Есть в наличии,6 110 руб.
Банкетка медицинская со спинкой БС01 (Чёрный),"
ВхШхГ, мм: 450х1000х490
Вес, кг: 13
",['450х1000х490'],Есть в наличии,10 170 руб.
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),"
ВхШхГ, мм: 400х1500х400
Вес, кг: 22
",['400х1500х400'],Нет в наличии,7 140 руб.
Диван медицинский (банкетка) Д01 (Чёрный),"
ВхШхГ, мм: 450х1080х510
Вес, кг: 18
",['450х1080х510'],Есть в наличии,12 630 руб.
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,10 390 руб.
Банкетка одноместная БО-2/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х600х500
",['430х600х500'],Есть в наличии,10 050 руб.
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 500х1500х500
",['500х1500х500'],Есть в наличии,14 200 руб.
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 500х1000х500
",['500х1000х500'],Есть в наличии,9 580 руб.
Диван модульный БС-3х + ДО-8/5 правый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х2310х630
",['780х2310х630'],Есть в наличии,47 990 руб.
"Банкетка двухместная БО-4/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 450х1250х450
",['450х1250х450'],Есть в наличии,18 130 руб.
"Банкетка трехместная БСУ-3х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,6 770 руб.
"Банкетка двухместная БУ-2х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1000х380
",['530х1000х380'],Есть в наличии,6 020 руб.
"Банкетка двухместная БМ-2х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 850х1000х570
",['850х1000х570'],Есть в наличии,8 380 руб.
"Банкетка трехместная БМ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 850х1500х570
",['850х1500х570'],Есть в наличии,9 560 руб.
"Банкетка двухместная БМ/1-2х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 450х900х500
",['450х900х500'],Есть в наличии,8 910 руб.
"Банкетка трехместная БМ/1-3х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 450х1350х500
",['450х1350х500'],Есть в наличии,11 600 руб.
Банкетка одноместная БО-1/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х700х500
",['430х700х500'],Есть в наличии,15 710 руб.
Банкетка двухместная БО-1/2 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1400х500
",['430х1400х500'],Есть в наличии,24 590 руб.
Банкетка трехместная Б-3х (кожзам Эконом белый),"
ВхШхГ, мм: 780х1600х630
",['780х1600х630'],Есть в наличии,26 890 руб.
"Диван одноместный Д-1 (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 880х600х600
",['880х600х600'],Есть в наличии,13 680 руб.
"Диван двухместный Д-2 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 880х1140х600
",['880х1140х600'],Есть в наличии,24 480 руб.
"Диван трехместный Д-3 (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 880х1690х600
",['880х1690х600'],Есть в наличии,34 270 руб.
"Диван двухместный ДУ-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 800х1060х500
",['800х1060х500'],Есть в наличии,16 630 руб.
"Диван трехместный ДУ-3х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 800х1560х500
",['800х1560х500'],Есть в наличии,19 240 руб.
Диван-кресло ДО-1/1 (кожзам Эконом бежевый),"
ВхШхГ, мм: 910х600х700
",['910х600х700'],Есть в наличии,22 750 руб.
"Диван-кресло ДО-2/1 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х700х670
",['855х700х670'],Есть в наличии,27 660 руб.
"Диван двухместный ДО-2/2 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х1400х670
",['855х1400х670'],Есть в наличии,36 820 руб.
"Диван трехместный ДО-2/3 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х1800х670
",['855х1800х670'],Есть в наличии,43 320 руб.
"Диван-кресло ДО-3/1 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 910
",[],Есть в наличии,19 350 руб.
"Диван двухместный ДО-3/2 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 910х1240х700
",['910х1240х700'],Есть в наличии,31 040 руб.
Диван-кресло ДО-4/1 (кожзам Эконом белый),"
ВхШхГ, мм: 910х600х700
",['910х600х700'],Есть в наличии,23 320 руб.
Диван двухместный ДО-4/2 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1200х700
",['910х1200х700'],Есть в наличии,35 840 руб.
"Диван-кресло ДО-5/1 (кожзам Эконом серый, каркас серый)","
ВхШхГ, мм: 820х780х600
",['820х780х600'],Есть в наличии,19 890 руб.
"Диван двухместный ДО-5/2 (кожзам Эконом коричневый, каркас серый)","
ВхШхГ, мм: 820х1380х600
",['820х1380х600'],Есть в наличии,31 200 руб.
"Диван трехместный ДО-5/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 820х1780х600
",['820х1780х600'],Есть в наличии,40 750 руб.
"Диван-кресло ДО-6/1 (кожзам Эконом серый, каркас серый)","
ВхШхГ, мм: 820х600х800
",['820х600х800'],Есть в наличии,20 530 руб.
"Диван двухместный ДО-6/2 (кожзам Эконом бежевый, каркас серый)","
ВхШхГ, мм: 820х1200х800
",['820х1200х800'],Есть в наличии,32 000 руб.
"Диван трехместный ДО-6/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 820х1800х800
",['820х1800х800'],Есть в наличии,41 070 руб.
Диван-кресло ДО-7/1 (кожзам Эконом белый),"
ВхШхГ, мм: 750х780х700
",['750х780х700'],Есть в наличии,25 310 руб.
"Диван двухместный ДО-7/2/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 850х1200х780
",['850х1200х780'],Есть в наличии,41 840 руб.
Диван-кресло ДО-9/1 (кожзам Эконом бежевый),"
ВхШхГ, мм: 830х710х720
",['830х710х720'],Есть в наличии,24 230 руб.
Диван-кресло ДО-10/1 (кожзам Эконом белый),"
ВхШхГ, мм: 830х730х650
",['830х730х650'],Есть в наличии,27 490 руб.
Диван-кресло ДО-11/1 (кожзам Эконом белый),"
ВхШхГ, мм: 835х650х800
",['835х650х800'],Есть в наличии,24 640 руб.
Диван двухместный ДО-11/2 (кожзам Эконом белый),"
ВхШхГ, мм: 835х1280х800
",['835х1280х800'],Есть в наличии,33 120 руб.
Диван-кресло ДО-12/1 (кожзам Эконом коричневый),"
ВхШхГ, мм: 635х810х720
",['635х810х720'],Есть в наличии,31 220 руб.
Диван-кресло ДМ-1 (кожзам Эконом белый),"
ВхШхГ, мм: 910х600х715
",['910х600х715'],Есть в наличии,17 880 руб.
Диван двухместный ДМ-2 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1200х715
",['910х1200х715'],Есть в наличии,32 600 руб.
Диван внутренний угол ДМв (кожзам Эконом белый),"
ВхШхГ, мм: 910х715х715
",['910х715х715'],Есть в наличии,32 330 руб.
Диван наружный угол ДМн (кожзам Эконом белый),"
ВхШхГ, мм: 910х715х715
",['910х715х715'],Есть в наличии,22 090 руб.
Диван для зон ожидания Д03 (Чёрный),"
ВхШхГ, мм: 900х1150х650
Вес, кг: 25
",['900х1150х650'],Есть в наличии,24 850 руб.
Диван для ожидания Д05-1 (Чёрный),"
ВхШхГ, мм: 470х600х600
",['470х600х600'],Есть в наличии,11 300 руб.
Диван для ожидания Д05 (Чёрный),"
ВхШхГ, мм: 470х1100х600
",['470х1100х600'],Есть в наличии,21 940 руб.
Диван для ожидания Д06 (Чёрный),"
ВхШхГ, мм: 470х1600х600
",['470х1600х600'],Есть в наличии,30 320 руб.
Банкетка двухместная БО-2/2 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1200х500
",['430х1200х500'],Есть в наличии,19 330 руб.
Банкетка трехместная БО-2/3 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1800х500
",['430х1800х500'],Есть в наличии,28 820 руб.
"Банкетка трехместная БО-3/3 (кожзам Эконом белый, каркас светло-серый)","
ВхШхГ, мм: 500х1800х500
",['500х1800х500'],Есть в наличии,18 550 руб.
Банкетка одноместная БО-5/1 (кожзам Эконом черный),"
ВхШхГ, мм: 460х630х630
",['460х630х630'],Есть в наличии,8 830 руб.
Банкетка двухместная БО-5/2 (кожзам Эконом черный),"
ВхШхГ, мм: 460х1260х630
",['460х1260х630'],Есть в наличии,17 390 руб.
Диван-кресло одноместный ДО-8/1 (кожзам Эконом белый),"
ВхШхГ, мм: 780х630х630
",['780х630х630'],Есть в наличии,16 790 руб.
Диван трехместный ДО-8/3 (кожзам Эконом белый),"
ВхШхГ, мм: 780х1680х630
",['780х1680х630'],Есть в наличии,33 270 руб.
Банкетка трехместная БО-5/3 (кожзам Эконом черный),"
ВхШхГ, мм: 460х1680х630
",['460х1680х630'],Есть в наличии,21 450 руб.
Банкетка одноместная Б-2х (кожзам Эконом белый),"
ВхШхГ, мм: 780х630х630
",['780х630х630'],Есть в наличии,12 360 руб.
