title,description,size,price
Экран WDS M-1,"

Вес, кг

						4					



Габариты, мм

						500x1014x24					


",['500x1014x24'],"
						2 129						
							 руб.							за 1 шт

"
Экран WDS M-0,"

Вес, кг

						3.1					



Габариты, мм

						500x710x24					


",['500x710x24'],"
						1 753						
							 руб.							за 1 шт

"
Верстак Expert WS (№204) WTH200.WS6/WS6.021,"

Вес, кг

						242					



Габариты, мм

						1920x2000x750					


",['1920x2000x750'],"
						156 519						
							 руб.							за 1 шт

"
Верстак Expert WS (№202) WTS200.WS1/WS1.021,"

Вес, кг

						175					



Габариты, мм

						1920x2000x750					


",['1920x2000x750'],"
						103 186						
							 руб.							за 1 шт

"
Верстак Expert WS (№201) W200.WS1/WS6.000,"

Вес, кг

						150					



Габариты, мм

						870x2000x750					


",['870x2000x750'],"
						106 700						
							 руб.							за 1 шт

"
Верстак Expert WS (№165) WTH160.WS6/WS6.021,"

Вес, кг

						218					



Габариты, мм

						1920x1600x750					


",['1920x1600x750'],"
						150 429						
							 руб.							за 1 шт

"
Верстак Expert WS (№164) W160.WS1/F2.110,"

Вес, кг

						114					



Габариты, мм

						1370x1600x750					


",['1370x1600x750'],"
						66 560						
							 руб.							за 1 шт

"
Верстак Expert WS (№163) W160.WS6/F2.110,"

Вес, кг

						139					



Габариты, мм

						1370x1600x750					


",['1370x1600x750'],"
						91 186						
							 руб.							за 1 шт

"
Верстак Expert WS (№161) W160.WS1/WS6.000,"

Вес, кг

						138					



Габариты, мм

						870x1600x750					


",['870x1600x750'],По запросу
Верстак Expert WS (№122) WTS120.WS1/F2.010,"

Вес, кг

						92					



Габариты, мм

						1370x1200x750					


",['1370x1200x750'],"
						51 643						
							 руб.							за 1 шт

"
Верстак Expert WS (№121) W120.WS6/WS1.000,"

Вес, кг

						132					



Габариты, мм

						870x1200x750					


",['870x1200x750'],По запросу
Верстак Expert WS (№224) WTH200.WS6/WS1.021,"

Вес, кг

						217					



Габариты, мм

						1920x2000x750					


",['1920x2000x750'],"
						131 893						
							 руб.							за 1 шт

"
Верстак Expert WS (№223) W200.F2/WS6.121,"

Вес, кг

						165					



Габариты, мм

						1920x2000x750					


",['1920x2000x750'],"
						106 099						
							 руб.							за 1 шт

"
Верстак Expert WS (№605) W160.WS1/WS1.011,"

Вес, кг

						128					



Габариты, мм

						1920x1600x750					


",['1920x1600x750'],"
						89 220						
							 руб.							за 1 шт

"
Верстак Expert WS (№608) WTH160.WS1/F2.021,"

Вес, кг

						142					



Габариты, мм

						1920x1600x750					


",['1920x1600x750'],"
						77 133						
							 руб.							за 1 шт

"
Верстак Expert WS (№206) W120.WS6/WS1.021,"

Вес, кг

						151					



Габариты, мм

						1920x1200x750					


",['1920x1200x750'],"
						107 339						
							 руб.							за 1 шт

"
Верстак Expert WS (№205) W120.WS6/F2.011,"

Вес, кг

						110					



Габариты, мм

						1920x1200x750					


",['1920x1200x750'],"
						80 768						
							 руб.							за 1 шт

"
Инструментальная тележка WDS M-6.1,"

Вес, кг

						74					



Габариты, мм

						905x1160x540					


",['905x1160x540'],"
						57 094						
							 руб.							за 1 шт

"
Крючок HKО,"

Вес, кг

						0.045					



Габариты, мм

						60x25x78					


",['60x25x78'],"
						217						
							 руб.							за 1 шт

"
Крючок HK 2-80,"

Вес, кг

						0.045					



Габариты, мм

						60x25x80					


",['60x25x80'],"
						167						
							 руб.							за 1 шт

"
Крючок HK 80,"

Вес, кг

						0.05					



Габариты, мм

						60x25x80					


",['60x25x80'],"
						175						
							 руб.							за 1 шт

"
Инструментальная тележка WDS M-9.0,"

Вес, кг

						75					



Габариты, мм

						905x860x540					


",['905x860x540'],По запросу
Инструментальная тележка WDS M-5.0,"

Вес, кг

						65					



Габариты, мм

						905x860x540					


",['905x860x540'],"
						44 072						
							 руб.							за 1 шт

"
Инструментальная тележка WDS M-3.0,"

Вес, кг

						58					



Габариты, мм

						905x860x540					


",['905x860x540'],"
						38 562						
							 руб.							за 1 шт

"
Экран WS-100 без косынок,"

Вес, кг

						6					



Габариты, мм

						500x1000x20					


",['500x1000x20'],"
						2 359						
							 руб.							за 1 шт

"
Комплект ниш TC 1995,"

Вес, кг

						33					



Габариты, мм

						1780x485x457					


",['1780x485x457'],По запросу
Инструментальная тележка WDS-6,"

Вес, кг

						49					



Габариты, мм

						738x750x453					


",['738x750x453'],"
						23 958						
							 руб.							за 1 шт

"
Ящик наборный Практик 400x200,"

Вес, кг

						0.45					



Габариты, мм

						50x200x400					


",['50x200x400'],"
						459						
							 руб.							за 1 шт

"
Ящик наборный Практик 200x200,"

Вес, кг

						0.24					



Габариты, мм

						50x200x200					


",['50x200x200'],"
						342						
							 руб.							за 1 шт

"
Ящик наборный Практик 100x100,"

Вес, кг

						0.1					



Габариты, мм

						50x100x100					


",['50x100x100'],"
						250						
							 руб.							за 1 шт

"
Ящик наборный Практик 50x50,"

Вес, кг

						0.04					



Габариты, мм

						50x50x50					


",['50x50x50'],"
						151						
							 руб.							за 1 шт

"
Ящик пластиковый Практик 500x230x150 синий,"

Вес, кг

						0.65					



Габариты, мм

						150x230x500					


",['150x230x500'],"
						576						
							 руб.							за 1 шт

"
Ящик пластиковый Практик 200x157x90 синий,"

Вес, кг

						0.2					



Габариты, мм

						90x157x183					


",['90x157x183'],"
						188						
							 руб.							за 1 шт

"
Ящик пластиковый Практик 170x105x80 синий,"

Вес, кг

						0.16					



Габариты, мм

						80x105x170					


",['80x105x170'],"
						171						
							 руб.							за 1 шт

"
Инструментальная тумба WS-6,"

Вес, кг

						67					



Габариты, мм

						840x600x650					


",['840x600x650'],"
						54 673						
							 руб.							за 1 шт

"
Инструментальная тумба WS-1,"

Вес, кг

						37					



Габариты, мм

						840x600x650					


",['840x600x650'],"
						30 048						
							 руб.							за 1 шт

"
Инструментальная тумба Profi M-5,"

Вес, кг

						57					



Габариты, мм

						840x608x642					


",['840x608x642'],"
						48 813						
							 руб.							за 1 шт

"
Инструментальная тумба Profi M-4,"

Вес, кг

						55					



Габариты, мм

						840x608x642					


",['840x608x642'],"
						47 645						
							 руб.							за 1 шт

"
Инструментальная тумба Profi M-1,"

Вес, кг

						35					



Габариты, мм

						840x608x642					


",['840x608x642'],"
						24 772						
							 руб.							за 1 шт

"
Инструментальная тумба WD-5,"

Вес, кг

						38.4					



Габариты, мм

						840x460x640					


",['840x460x640'],"
						17 196						
							 руб.							за 1 шт

"
Инструментальная тумба WD-2,"

Вес, кг

						24					



Габариты, мм

						840x460x640					


",['840x460x640'],"
						12 418						
							 руб.							за 1 шт

"
Инструментальная тумба WD-1,"

Вес, кг

						19.5					



Габариты, мм

						840x460x640					


",['840x460x640'],"
						8 828						
							 руб.							за 1 шт

"
Инструментальный стенд,"

Вес, кг

						38					



Габариты, мм

						2010x1040x510					


",['2010x1040x510'],"
						18 615						
							 руб.							за 1 шт

"
Модульный драйвер для хранения инструмента,"

Вес, кг

						89					



Габариты, мм

						1470x750x453					


",['1470x750x453'],По запросу
Инструментальный шкаф HARD 2000-062012,"

Вес, кг

						128					



Габариты, мм

						1998x1150x650					


",['1998x1150x650'],"
						119 497						
							 руб.							за 1 шт

"
