title,size,price
"

                                    Шкаф для газовых баллонов G-1                                 


Высота, мм
1200


Ширина, мм
450


Глубина, мм
350



","[<td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">450</td>, <td class=""bxr-props-table-value"">350</td>]",8 172 руб.
"

                                    Верстак Profi (№401) WT140.WD5/F1.000                                 


Высота, мм
866


Ширина, мм
1400


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1400</td>, <td class=""bxr-props-table-value"">700</td>]",31 764 руб.
"

                                    Верстак Expert (№223) W200.F2/WS6.121                                 


Высота, мм
1870


Ширина, мм
2000


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1870</td>, <td class=""bxr-props-table-value"">2000</td>, <td class=""bxr-props-table-value"">700</td>]",114 839 руб.
"

                                    Шкаф сушильный ШС Циклон 1965                                 


Высота, мм
1950*/2000


Ширина, мм
650


Глубина, мм
600       (*высота без фланца)



","[<td class=""bxr-props-table-value"">1950*/2000</td>, <td class=""bxr-props-table-value"">650</td>, <td class=""bxr-props-table-value"">600       (*высота без фланца)</td>]",50 566 руб.
"

                                    Верстак Expert (№605) W160.WS1/WS6.011                                 


Высота, мм
1370


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">1370</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",111 206 руб.
"

                                    Модуль тумб WS                                 


Высота, мм
-


Ширина, мм
-


Глубина, мм
-



","[<td class=""bxr-props-table-value"">-</td>, <td class=""bxr-props-table-value"">-</td>, <td class=""bxr-props-table-value"">-</td>]",92 888 руб.
"

                                    Экран WS-120 без косынок                                 


Высота, мм
500


Ширина, мм
1200


Глубина, мм
20



","[<td class=""bxr-props-table-value"">500</td>, <td class=""bxr-props-table-value"">1200</td>, <td class=""bxr-props-table-value"">20</td>]",2 500 руб.
"

                                    Лоток-держатель А4                                 


Высота, мм
300


Ширина, мм
300


Глубина, мм
60



","[<td class=""bxr-props-table-value"">300</td>, <td class=""bxr-props-table-value"">300</td>, <td class=""bxr-props-table-value"">60</td>]",526 руб.
"

                                    Комплект полок AMH TC SK 50 (2шт.)                                 


Высота, мм
30


Ширина, мм
840


Глубина, мм
170



","[<td class=""bxr-props-table-value"">30</td>, <td class=""bxr-props-table-value"">840</td>, <td class=""bxr-props-table-value"">170</td>]",3 986 руб.
"

                                    Верстак Profi (№602) WT160.WD1/WD1.000                                 


Высота, мм
866


Ширина, мм
1600


Глубина, мм
700



","[<td class=""bxr-props-table-value"">866</td>, <td class=""bxr-props-table-value"">1600</td>, <td class=""bxr-props-table-value"">700</td>]",29 710 руб.
