title,size,price
"
Бухгалтерский шкаф SL-32
","[<a class=""spec"">Вес(кг): <span>10</span></a>, <a class=""spec"">Габариты: <span>320x420x350</span></a>]","
 6 084 руб.
"
"
Бухгалтерский шкаф SL-32Т
","[<a class=""spec"">Вес(кг): <span>10</span></a>, <a class=""spec"">Габариты: <span>320x450x320</span></a>]","
 6 717 руб.
"
"
Бухгалтерский шкаф SL-87T
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>870x760x340</span></a>]","
 10 776 руб.
"
"
Бухгалтерский шкаф SL-87Т EL
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>870x460x340</span></a>]","
 12 306 руб.
"
"
Бухгалтерский шкаф SL-125Т
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1252x460x340</span></a>]","
 12 867 руб.
"
"
Бухгалтерский шкаф SL-125Т EL
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1252x460x340</span></a>]","
 14 397 руб.
"
"
Бухгалтерский шкаф SL-125/2Т
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>1252x460x340</span></a>]","
 15 560 руб.
"
"
Бухгалтерский шкаф SL-150T
","[<a class=""spec"">Вес(кг): <span>32</span></a>, <a class=""spec"">Габариты: <span>1490x460x340</span></a>]","
 16 346 руб.
"
"
Бухгалтерский шкаф SL-185
","[<a class=""spec"">Вес(кг): <span>46</span></a>, <a class=""spec"">Габариты: <span>1800x460x340</span></a>]","
 18 437 руб.
"
"
Бухгалтерский шкаф SL-185/2
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>1800x920x340</span></a>]","
 34 685 руб.
"
"
Бухгалтерский шкаф SL-65Т
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>630x460x340</span></a>]","
 8 930 руб.
"
"
Бухгалтерский шкаф SL-65Т EL
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>630x460x340</span></a>]","
 10 460 руб.
"
"
Бухгалтерский шкаф SL-150T-EL/2
","[<a class=""spec"">Вес(кг): <span>42</span></a>, <a class=""spec"">Габариты: <span>1490x460x340</span></a>]","
 16 346 руб.
"
"
Шкаф для офиса AM 1891/2U
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>1830x915x458</span></a>]","
Под заказ
"
"
Шкаф усиленный VALBERG BM-1993KL
","[<a class=""spec"">Вес(кг): <span>142</span></a>, <a class=""spec"">Габариты: <span>1950x930x420</span></a>]","
Под заказ
"
"
Шкаф усиленный VALBERG BM-1260KL
","[<a class=""spec"">Вес(кг): <span>72</span></a>, <a class=""spec"">Габариты: <span>1220x600x420</span></a>]","
Под заказ
"
"
Офисный шкаф AM 1845/4
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1830x472x458</span></a>]","
Под заказ
"
"
Архивный шкаф ШАМ-12/680
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>680x425x500</span></a>]","
 6 763 руб.
"
"
Архивный шкаф - ШАМ-12
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>1860x425x500</span></a>]","
 13 162 руб.
"
"
Шкаф офисный ПРАКТИК CB-13
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>930x850x500</span></a>]","
 14 423 руб.
"
"
Офисный шкаф AM 0891
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>832x915x458</span></a>]","
 15 035 руб.
"
"
Офисный шкаф AM 1845
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>1830x472x458</span></a>]","
 16 152 руб.
"
"
Архивный шкаф ШАМ-11/400
","[<a class=""spec"">Вес(кг): <span>54</span></a>, <a class=""spec"">Габариты: <span>1860x850x400</span></a>]","
 16 843 руб.
"
"
Архивный шкаф - ШАМ-11
","[<a class=""spec"">Вес(кг): <span>51</span></a>, <a class=""spec"">Габариты: <span>1860x850x500</span></a>]","
 18 658 руб.
"
