title,size,price
"
АКЦИЯ! Стеллаж  для заготовок 1500*700*300 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>1500x700x300</span></a>]","
 2 900 руб.
"
"
Стеллаж металлический 1000*700*300 мм, 3 полки
","[<a class=""spec"">Вес(кг): <span>12</span></a>, <a class=""spec"">Габариты: <span>1000x700x300</span></a>]","
 3 592 руб.
"
"
Стеллаж металлический 2000*1000*400 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>19</span></a>, <a class=""spec"">Габариты: <span>2000x1000x400</span></a>]","
 7 159 руб.
"
"
Стеллаж металлический 2200*1000*500 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>22</span></a>, <a class=""spec"">Габариты: <span>2200x1000x500</span></a>]","
 8 257 руб.
"
"
Стеллаж металлический 1800*1200*500 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>17</span></a>, <a class=""spec"">Габариты: <span>1800x1200x500</span></a>]","
 8 612 руб.
"
"
Стеллаж металлический 1800*700*300 мм, 3 полки
","[<a class=""spec"">Вес(кг): <span>12</span></a>, <a class=""spec"">Габариты: <span>1850x700x300</span></a>]","
 4 056 руб.
"
"
Стеллаж металлический 2000*700*400 мм, 3 полки
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>2000x700x400</span></a>]","
 4 561 руб.
"
"
Стеллаж металлический 2200*1000*400 мм, 4 полки
","[<a class=""spec"">Вес(кг): <span>25</span></a>, <a class=""spec"">Габариты: <span>2200x1000x400</span></a>]","
 6 460 руб.
"
"
Стеллаж металлический 2000*1200*300 мм, 5 полок
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>2000x1200x300</span></a>]","
 8 039 руб.
"
"
Стеллаж металлический 2500*1200*400 мм, 6 полок
","[<a class=""spec"">Вес(кг): <span>32</span></a>, <a class=""spec"">Габариты: <span>2550x1200x400</span></a>]","
 10 826 руб.
"
"
Стеллаж металлический 3000*1500*400 мм, 6 полок
","[<a class=""spec"">Вес(кг): <span>34</span></a>, <a class=""spec"">Габариты: <span>3000x1500x400</span></a>]","
 13 776 руб.
"
"
Тележка инструментальная GARAGE BIG
","[<a class=""spec"">Вес(кг): <span>49</span></a>, <a class=""spec"">Габариты: <span>1930x722x515</span></a>]","
Под заказ
"
"
Дополнительная секция грузового стеллажа 2500*1500*600, 5 полок
","[<a class=""spec"">Вес(кг): <span>73</span></a>, <a class=""spec"">Габариты: <span>2500x1500x600</span></a>]","
Под заказ
"
"
Дополнительная секция грузового стеллажа 2000*1800*600, 4 полки
","[<a class=""spec"">Вес(кг): <span>68</span></a>, <a class=""spec"">Габариты: <span>2000x1800x600</span></a>]","
Под заказ
"
"
Стеллаж грузовой 2000*1800*600, 4 полки
","[<a class=""spec"">Вес(кг): <span>77</span></a>, <a class=""spec"">Габариты: <span>2000x1800x600</span></a>]","
Под заказ
"
"
Стеллаж грузовой 2500*1500*600, 5 полок
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>2500x1500x600</span></a>]","
Под заказ
"
"
Дополнительная секция грузового стеллажа 3000*1500*800, 5 полок
","[<a class=""spec"">Вес(кг): <span>87</span></a>, <a class=""spec"">Габариты: <span>3000x1500x800</span></a>]","
Под заказ
"
"
Стеллаж грузовой 3000*1500*800, 5 полок
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>3000x1500x800</span></a>]","
Под заказ
"
"
Паллетный стеллаж, 2000*1050*5400 мм
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>2000x5400x1050</span></a>]","
Под заказ
"
"
Паллетный стеллаж, 2000*1050*2700 мм
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>2000x2700x1050</span></a>]","
Под заказ
"
"
СТЕЛЛАЖ ES 75KD/75X30/3
","[<a class=""spec"">Вес(кг): <span>22</span></a>, <a class=""spec"">Габариты: <span>753x750x300</span></a>]","
 1 836 руб.
"
"
СТЕЛЛАЖ ES 150KD/75Х30/4
","[<a class=""spec"">Вес(кг): <span>15</span></a>, <a class=""spec"">Габариты: <span>1453x750x300</span></a>]","
 3 060 руб.
"
"
СТЕЛЛАЖ MS U 200/70X30/3 (НАГРУЗКА НА ПОЛКУ 200)
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>2000x700x300</span></a>]","
 8 782 руб.
"
"
СТЕЛЛАЖ MS U 200/100X40/3 (НАГРУЗКА НА ПОЛКУ 300)
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>2000x1000x400</span></a>]","
 11 485 руб.
"
