title,size,price
"
Верстак MASTER №107 M100.MF1/MF1/MF1.000
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>900x2000x500</span></a>]","
Под заказ
"
"
Верстак MASTER (№105) MT100.MF1/MF1.201
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>900x1000x500</span></a>]","
Под заказ
"
"
Верстак MASTER (№104) MT100.MF1/MF1.101
","[<a class=""spec"">Вес(кг): <span>42</span></a>, <a class=""spec"">Габариты: <span>900x1000x500</span></a>]","
Под заказ
"
"
Верстак MASTER (№103) MT100.MF1/MF1.100
","[<a class=""spec"">Вес(кг): <span>38</span></a>, <a class=""spec"">Габариты: <span>900x1000x500</span></a>]","
Под заказ
"
"
Верстак MASTER (№102) M100.MF1/MF1.000
","[<a class=""spec"">Вес(кг): <span>34</span></a>, <a class=""spec"">Габариты: <span>900x1000x500</span></a>]","
Под заказ
"
"
Верстак MASTER (№101) MT100.MF1/MF1.000
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>900x1000x500</span></a>]","
Под заказ
"
"
Верстак - ВП-6Т/1.6
","[<a class=""spec"">Вес(кг): <span>105</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
Под заказ
"
"
Верстак ВП-3Т/1.6
","[<a class=""spec"">Вес(кг): <span>79</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
Под заказ
"
"
Верстак - ВП-3Т/1.2
","[<a class=""spec"">Вес(кг): <span>68</span></a>, <a class=""spec"">Габариты: <span>860x1200x685</span></a>]","
Под заказ
"
"
Верстак ВП-2/1.6
","[<a class=""spec"">Вес(кг): <span>62</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
Под заказ
"
"
Верстак - ВП-2/1.2
","[<a class=""spec"">Вес(кг): <span>54</span></a>, <a class=""spec"">Габариты: <span>860x1200x685</span></a>]","
Под заказ
"
"
Верстак Garage №112
","[<a class=""spec"">Вес(кг): <span>20</span></a>, <a class=""spec"">Габариты: <span>920x1000x500</span></a>]","
 7 788 руб.
"
"
Верстак Garage №113
","[<a class=""spec"">Вес(кг): <span>23</span></a>, <a class=""spec"">Габариты: <span>920x1000x500</span></a>]","
 9 445 руб.
"
"
Верстак Garage №114
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>1420x1010x500</span></a>]","
 11 689 руб.
"
"
Верстак - ВП-1
","[<a class=""spec"">Вес(кг): <span>30</span></a>, <a class=""spec"">Габариты: <span>860x1000x685</span></a>]","
 15 197 руб.
"
"
Верстак ПРАКТИК PROFI (№201) WT120.WD1/F1.000
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>866x1200x700</span></a>]","
 22 491 руб.
"
"
Верстак ПРАКТИК PROFI (№400) WT140.WD1/F1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1400x700</span></a>]","
 25 051 руб.
"
"
Верстак ПРАКТИК PROFI (№ 202) WT120.WD5/F1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1200x700</span></a>]","
 32 717 руб.
"
"
Верстак ПРАКТИК PROFI (№602) WT160.WD1/WD1.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 32 966 руб.
"
"
Верстак ПРАКТИК PROFI (№401) WT140.WD5/F1.000
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>866x1400x700</span></a>]","
 35 277 руб.
"
"
Верстак ПРАКТИК PROFI (№603) WT160.WD1/WD5.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 43 192 руб.
"
"
Верстак ВП-4Т/1.6
","[<a class=""spec"">Вес(кг): <span>93</span></a>, <a class=""spec"">Габариты: <span>860x1600x685</span></a>]","
 44 016 руб.
"
"
Верстак усиленный Expert (№606) WTH160.F2/F2.000
","[<a class=""spec"">Вес(кг): <span>75</span></a>, <a class=""spec"">Габариты: <span>870x1600x700</span></a>]","
 46 864 руб.
"
"
Верстак усиленный Expert (№222) W200.F2/F2.011
","[<a class=""spec"">Вес(кг): <span>70</span></a>, <a class=""spec"">Габариты: <span>1370x2000x700</span></a>]","
 52 918 руб.
"
"
Верстак ПРАКТИК PROFI (№604) WT160.WD5/WD5.000
","[<a class=""spec"">Вес(кг): <span>14</span></a>, <a class=""spec"">Габариты: <span>866x1600x700</span></a>]","
 53 417 руб.
"
"
Верстак MASTER №107 M100.MF1/MF1/MF1.000
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>900x2000x500</span></a>]","
Под заказ
"
